run,dataset,signal,frac_tight,frac_wide,net_tight,tight_mag,wide_mag,net_mag,d_cov_cliff,tightened_miss_frac,recovered_frac
rf_ecfp,CHEMBL237_EC50,d_pair_gap,0.2894736842105263,0.5614035087719298,-0.27192982456140347,0.02996716190062377,0.09970714260835989,0.06973998070773613,0.00877192982456143,0.017543859649122806,0.02631578947368421
rf_ecfp,CHEMBL237_Ki,d_pair_gap,0.33031674208144796,0.6470588235294118,-0.31674208144796384,0.028960868480567704,0.050652454316553915,0.02169158583598621,-0.013574660633484115,0.03619909502262444,0.02262443438914027
rf_ecfp,CHEMBL239_EC50,d_pair_gap,0.4206008583690987,0.5536480686695279,-0.13304721030042915,0.03434735981773143,0.05806614909324717,0.02371878927551574,0.0,0.02575107296137339,0.02575107296137339
rf_ecfp,CHEMBL244_Ki,d_pair_gap,0.39057239057239057,0.6094276094276094,-0.21885521885521886,0.03212409423126085,0.0844454327740052,0.052321338542744344,0.026936026936026924,0.016835016835016835,0.04377104377104377
rf_ecfp,CHEMBL264_Ki,d_pair_gap,0.480225988700565,0.4971751412429379,-0.01694915254237289,0.05179247554512405,0.0365684280881521,-0.01522404745697195,-0.05084745762711862,0.05649717514124294,0.005649717514124294
rf_ecfp,CHEMBL287_Ki,d_pair_gap,0.5072463768115942,0.36231884057971014,0.1449275362318841,0.053288372672330345,0.032226520611284074,-0.02106185206104627,-0.01449275362318836,0.043478260869565216,0.028985507246376812
rf_ecfp,CHEMBL3979_EC50,d_pair_gap,0.28,0.72,-0.43999999999999995,0.025689491839177826,0.06311904343554513,0.0374295515963673,0.0,0.02666666666666667,0.02666666666666667
rf_ecfp,CHEMBL204_Ki,d_pair,0.2140077821011673,0.6731517509727627,-0.45914396887159536,0.0106068079231707,0.06302682724835827,0.05242001932518757,0.01945525291828798,0.0038910505836575876,0.023346303501945526
rf_ecfp,CHEMBL214_Ki,d_pair,0.4541984732824427,0.4732824427480916,-0.019083969465648887,0.01833766771390544,0.02419941603896896,0.005861748325063521,0.007633587786259555,0.007633587786259542,0.015267175572519083
rf_ecfp,CHEMBL219_Ki,d_pair,0.46825396825396826,0.5317460317460317,-0.06349206349206349,0.03464772533409759,0.01562682405190545,-0.019020901282192137,-0.031746031746031744,0.031746031746031744,0.0
rf_ecfp,CHEMBL228_Ki,d_pair,0.29545454545454547,0.4659090909090909,-0.17045454545454541,0.024399720526254096,0.008555650456036602,-0.015844070070217493,0.0,0.0,0.0
rf_ecfp,CHEMBL233_Ki,d_pair,0.5692307692307692,0.35,0.21923076923076923,0.04391448880741019,0.009919100936537207,-0.03399538787087298,-0.01538461538461533,0.03461538461538462,0.019230769230769232
rf_ecfp,CHEMBL234_Ki,d_pair,0.6583333333333333,0.3416666666666667,0.31666666666666665,0.0998586669050053,0.020679060641269988,-0.07917960626373532,-0.054166666666666696,0.06666666666666667,0.0125
rf_ecfp,CHEMBL235_EC50,d_pair,0.49489795918367346,0.4489795918367347,0.04591836734693877,0.014827924665426238,0.07907430561751108,0.06424638095208485,0.06632653061224492,0.00510204081632653,0.07142857142857142
rf_ecfp,CHEMBL236_Ki,d_pair,0.2601626016260163,0.5203252032520326,-0.2601626016260163,0.009763354085906598,0.015208363575679323,0.005445009489772725,0.012195121951219523,0.0040650406504065045,0.016260162601626018
rf_ecfp,CHEMBL237_EC50,d_pair,0.2631578947368421,0.5877192982456141,-0.324561403508772,0.014938265500816504,0.06886936152243561,0.05393109602161911,0.01754385964912275,0.008771929824561403,0.02631578947368421
rf_ecfp,CHEMBL237_Ki,d_pair,0.3257918552036199,0.6425339366515838,-0.31674208144796384,0.011047763362559833,0.021074663654837605,0.010026900292277771,-0.009049773755656076,0.01809954751131222,0.00904977375565611
rf_ecfp,CHEMBL239_EC50,d_pair,0.41630901287553645,0.43776824034334766,-0.021459227467811204,0.01832883798920878,0.02016102117965811,0.0018321831904493276,-0.008583690987124526,0.017167381974248927,0.008583690987124463
rf_ecfp,CHEMBL244_Ki,d_pair,0.4781144781144781,0.5218855218855218,-0.04377104377104374,0.015896936396683894,0.03370380655608854,0.017806870159404645,0.01683501683501687,0.006734006734006734,0.02356902356902357
rf_ecfp,CHEMBL264_Ki,d_pair,0.4858757062146893,0.4689265536723164,0.01694915254237289,0.03166774208514791,0.02929932882534156,-0.00236841325980635,-0.02259887005649719,0.02824858757062147,0.005649717514124294
rf_ecfp,CHEMBL287_Ki,d_pair,0.36231884057971014,0.5507246376811594,-0.18840579710144928,0.037623739516275144,0.02702216424070701,-0.010601575275568133,-0.02898550724637672,0.043478260869565216,0.014492753623188406
rf_ecfp,CHEMBL3979_EC50,d_pair,0.5333333333333333,0.38666666666666666,0.14666666666666667,0.02286707982329574,0.023951764486166767,0.0010846846628710279,-0.026666666666666727,0.04,0.013333333333333334
rf_ecfp,CHEMBL204_Ki,rf_std,0.5330739299610895,0.4669260700389105,0.06614785992217898,0.15244054595393577,0.12942926370314117,-0.0230112822507946,-0.0933852140077821,0.12062256809338522,0.027237354085603113
rf_ecfp,CHEMBL214_Ki,rf_std,0.5877862595419847,0.4122137404580153,0.17557251908396942,0.1394948352832396,0.08215742145499726,-0.05733741382824235,-0.08396946564885488,0.13358778625954199,0.04961832061068702
rf_ecfp,CHEMBL219_Ki,rf_std,0.6111111111111112,0.3888888888888889,0.22222222222222227,0.09827131444516497,0.07528090472055808,-0.02299040972460689,-0.007936507936507908,0.05555555555555555,0.047619047619047616
rf_ecfp,CHEMBL228_Ki,rf_std,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.15722053788012175,0.09931042151827435,-0.0579101163618474,-0.13636363636363635,0.1590909090909091,0.022727272727272728
rf_ecfp,CHEMBL233_Ki,rf_std,0.5653846153846154,0.4346153846153846,0.13076923076923075,0.10603579388228802,0.11865554229202062,0.012619748409732595,-0.04230769230769227,0.1,0.057692307692307696
rf_ecfp,CHEMBL234_Ki,rf_std,0.5708333333333333,0.42916666666666664,0.14166666666666666,0.11819548456056608,0.15161566842785235,0.03342018386728626,-0.0708333333333333,0.12083333333333333,0.05
rf_ecfp,CHEMBL235_EC50,rf_std,0.42346938775510207,0.5510204081632653,-0.12755102040816318,0.10437681181672816,0.17754782335449212,0.07317101153776397,0.025510204081632626,0.08673469387755102,0.11224489795918367
rf_ecfp,CHEMBL236_Ki,rf_std,0.4349593495934959,0.5203252032520326,-0.08536585365853666,0.0855083223181679,0.11953910024838754,0.034030777930219636,-0.004065040650406582,0.07317073170731707,0.06910569105691057
rf_ecfp,CHEMBL237_EC50,rf_std,0.3684210526315789,0.5877192982456141,-0.21929824561403516,0.07212283723704307,0.11380714753258346,0.041684310295540386,0.0,0.043859649122807015,0.043859649122807015
