run,dataset,signal,lhs,rhs,resid
rf_rdkit,CHEMBL264_Ki,d_wstd,0.006457242582897038,0.006457242582897033,5.204170427930421e-18
rf_rdkit,CHEMBL287_Ki,d_wstd,0.009433962264150941,0.009433962264150943,1.734723475976807e-18
rf_rdkit,CHEMBL3979_EC50,d_wstd,-0.003555555555555534,-0.0035555555555555557,2.168404344971009e-17
rf_rdkit,CHEMBL204_Ki,d_std,0.008711433756805831,0.008711433756805808,2.2551405187698492e-17
rf_rdkit,CHEMBL214_Ki,d_std,0.005572289156626442,0.005572289156626506,6.418476861114186e-17
rf_rdkit,CHEMBL219_Ki,d_std,0.0005361930294905948,0.0005361930294906167,2.190088388420719e-17
rf_rdkit,CHEMBL228_Ki,d_std,0.01260997067448677,0.012609970674486803,3.2959746043559335e-17
rf_rdkit,CHEMBL233_Ki,d_std,-0.00015898251192369983,-0.0001589825119236884,1.1438332919722072e-17
rf_rdkit,CHEMBL234_Ki,d_std,0.005191256830601176,0.005191256830601093,8.326672684688674e-17
rf_rdkit,CHEMBL235_EC50,d_std,0.010638297872340496,0.010638297872340425,7.112366251504909e-17
rf_rdkit,CHEMBL236_Ki,d_std,0.005394990366088592,0.005394990366088632,3.9898639947466563e-17
rf_rdkit,CHEMBL237_EC50,d_std,0.007853403141361293,0.007853403141361256,3.642919299551295e-17
rf_rdkit,CHEMBL237_Ki,d_std,0.0017307692307692024,0.0017307692307692308,2.8406096919120216e-17
rf_rdkit,CHEMBL239_EC50,d_std,0.012500000000000067,0.0125,6.591949208711867e-17
rf_rdkit,CHEMBL244_Ki,d_std,0.005967741935483883,0.005967741935483871,1.214306433183765e-17
rf_rdkit,CHEMBL264_Ki,d_std,0.006631762652705153,0.006631762652705061,9.194034422677078e-17
rf_rdkit,CHEMBL287_Ki,d_std,0.007924528301886835,0.007924528301886792,4.336808689942018e-17
rf_rdkit,CHEMBL3979_EC50,d_std,-0.005333333333333301,-0.005333333333333333,3.209238430557093e-17
rf_rdkit,CHEMBL204_Ki,d_iqr,0.00889292196007263,0.008892921960072596,3.469446951953614e-17
rf_rdkit,CHEMBL214_Ki,d_iqr,0.0022590361445783413,0.002259036144578313,2.8189256484623115e-17
rf_rdkit,CHEMBL219_Ki,d_iqr,0.00857908847184985,0.008579088471849867,1.734723475976807e-17
rf_rdkit,CHEMBL228_Ki,d_iqr,0.011730205278592365,0.011730205278592375,1.0408340855860843e-17
rf_rdkit,CHEMBL233_Ki,d_iqr,0.0020667726550078758,0.002066772655007949,7.32920668600201e-17
rf_rdkit,CHEMBL234_Ki,d_iqr,0.002868852459016469,0.0028688524590163933,7.546047120499111e-17
rf_rdkit,CHEMBL235_EC50,d_iqr,0.010851063829787289,0.010851063829787235,5.377642775528102e-17
rf_rdkit,CHEMBL236_Ki,d_iqr,0.0036608863198458463,0.0036608863198458576,1.1275702593849246e-17
rf_rdkit,CHEMBL237_EC50,d_iqr,0.021989528795811508,0.02198952879581152,1.0408340855860843e-17
rf_rdkit,CHEMBL237_Ki,d_iqr,-0.0015384615384614886,-0.0015384615384615385,4.9873299934333204e-17
rf_rdkit,CHEMBL239_EC50,d_iqr,0.00552325581395352,0.005523255813953488,3.209238430557093e-17
rf_rdkit,CHEMBL244_Ki,d_iqr,-0.0024193548387096975,-0.0024193548387096775,1.9949319973733282e-17
rf_rdkit,CHEMBL264_Ki,d_iqr,0.00855148342059342,0.008551483420593368,5.204170427930421e-17
rf_rdkit,CHEMBL287_Ki,d_iqr,0.0030188679245283234,0.0030188679245283017,2.168404344971009e-17
rf_rdkit,CHEMBL3979_EC50,d_iqr,-0.0013333333333332975,-0.0013333333333333333,3.5778671692021646e-17
rf_rdkit,CHEMBL204_Ki,d_nb,0.0014519056261342866,0.0014519056261343012,1.452830911130576e-17
rf_rdkit,CHEMBL214_Ki,d_nb,0.0007530120481927804,0.0007530120481927711,9.324138683375338e-18
rf_rdkit,CHEMBL219_Ki,d_nb,0.010991957104557692,0.01099195710455764,5.204170427930421e-17
rf_rdkit,CHEMBL228_Ki,d_nb,0.007331378299120228,0.007331378299120235,6.938893903907228e-18
rf_rdkit,CHEMBL233_Ki,d_nb,0.003815580286168463,0.0038155802861685214,5.854691731421724e-17
rf_rdkit,CHEMBL234_Ki,d_nb,-0.0004098360655737654,-0.0004098360655737705,5.095750210681871e-18
rf_rdkit,CHEMBL235_EC50,d_nb,0.011276595744680873,0.01127659574468085,2.2551405187698492e-17
rf_rdkit,CHEMBL236_Ki,d_nb,0.003853564547206201,0.0038535645472061657,3.5128150388530344e-17
rf_rdkit,CHEMBL237_EC50,d_nb,0.008900523560209428,0.008900523560209424,3.469446951953614e-18
rf_rdkit,CHEMBL237_Ki,d_nb,0.005769230769230749,0.0057692307692307696,2.0816681711721685e-17
rf_rdkit,CHEMBL239_EC50,d_nb,0.0026162790697674687,0.002616279069767442,2.688821387764051e-17
rf_rdkit,CHEMBL244_Ki,d_nb,0.006129032258064493,0.006129032258064516,2.3418766925686896e-17
rf_rdkit,CHEMBL264_Ki,d_nb,0.008027923211169297,0.008027923211169284,1.214306433183765e-17
rf_rdkit,CHEMBL287_Ki,d_nb,0.00452830188679243,0.004528301886792453,2.3418766925686896e-17
rf_rdkit,CHEMBL3979_EC50,d_nb,-0.0040000000000000036,-0.004,3.469446951953614e-18
rf_rdkit,CHEMBL204_Ki,d_nn_sim,0.007803992740471832,0.00780399274047187,3.729655473350135e-17
rf_rdkit,CHEMBL214_Ki,d_nn_sim,0.004216867469879482,0.004216867469879518,3.642919299551295e-17
rf_rdkit,CHEMBL219_Ki,d_nn_sim,0.011260053619302934,0.011260053619302948,1.3877787807814457e-17
rf_rdkit,CHEMBL228_Ki,d_nn_sim,0.011143695014662724,0.011143695014662757,3.2959746043559335e-17
rf_rdkit,CHEMBL233_Ki,d_nn_sim,-0.004451510333863373,-0.004451510333863275,9.80118763926896e-17
rf_rdkit,CHEMBL234_Ki,d_nn_sim,0.002732240437158473,0.00273224043715847,3.0357660829594124e-18
rf_rdkit,CHEMBL235_EC50,d_nn_sim,0.006808510638297904,0.006808510638297872,3.209238430557093e-17
rf_rdkit,CHEMBL236_Ki,d_nn_sim,0.004046242774566444,0.004046242774566474,2.949029909160572e-17
rf_rdkit,CHEMBL237_EC50,d_nn_sim,0.01099476439790581,0.01099476439790576,5.0306980803327406e-17
rf_rdkit,CHEMBL237_Ki,d_nn_sim,0.004423076923076974,0.004423076923076923,5.117434254131581e-17
rf_rdkit,CHEMBL239_EC50,d_nn_sim,0.0049418604651163545,0.004941860465116279,7.546047120499111e-17
rf_rdkit,CHEMBL244_Ki,d_nn_sim,0.0024193548387096975,0.0024193548387096775,1.9949319973733282e-17
rf_rdkit,CHEMBL264_Ki,d_nn_sim,0.0038394415357766443,0.0038394415357766143,2.992397996059992e-17
rf_rdkit,CHEMBL287_Ki,d_nn_sim,-0.0022641509433961593,-0.0022641509433962265,6.722053469410127e-17
rf_rdkit,CHEMBL3979_EC50,d_nn_sim,0.0022222222222222365,0.0022222222222222222,1.431146867680866e-17
rf_rdkit,CHEMBL204_Ki,d_pair_gap,0.008529945553539031,0.00852994555353902,1.0408340855860843e-17
rf_rdkit,CHEMBL214_Ki,d_pair_gap,0.003915662650602392,0.00391566265060241,1.8214596497756474e-17
rf_rdkit,CHEMBL219_Ki,d_pair_gap,-0.0008042895442359477,-0.0008042895442359249,2.2768245622195593e-17
rf_rdkit,CHEMBL228_Ki,d_pair_gap,0.005278592375366542,0.005278592375366569,2.688821387764051e-17
rf_rdkit,CHEMBL233_Ki,d_pair_gap,0.0001589825119235888,0.0001589825119236884,9.958396954279358e-17
rf_rdkit,CHEMBL234_Ki,d_pair_gap,0.003551912568306115,0.003551912568306011,1.0364972768961422e-16
rf_rdkit,CHEMBL235_EC50,d_pair_gap,0.005106382978723456,0.005106382978723404,5.204170427930421e-17
