dataset,method,tau_q,group,n,under_rate,over_rate,miscoverage,width
CHEMBL214_Ki,global,0.9,cliff,59,0.559322033898305,0.0,0.559322033898305,2.2661372321967934
CHEMBL214_Ki,global,0.9,noncliff,623,0.22632423756019263,0.0,0.22632423756019263,2.2439348305132887
CHEMBL214_Ki,global,0.9,all,682,0.25513196480938416,0.0,0.25513196480938416,2.2458555661427995
CHEMBL214_Ki,mondrian_wstd,0.5,cliff,149,0.2684563758389262,0.020134228187919462,0.28859060402684567,2.440670033295488
CHEMBL214_Ki,mondrian_wstd,0.5,noncliff,3177,0.07994963802329241,0.003777148253068933,0.08372678627636135,2.215697384372118
CHEMBL214_Ki,mondrian_wstd,0.5,all,3326,0.08839446782922429,0.004509921828021648,0.09290438965724594,2.225775834368986
CHEMBL214_Ki,mondrian_wstd,0.75,cliff,96,0.3854166666666667,0.0,0.3854166666666667,2.431757955208324
CHEMBL214_Ki,mondrian_wstd,0.75,noncliff,1569,0.1268323773103888,0.0006373486297004461,0.12746972594008923,2.246714494704244
CHEMBL214_Ki,mondrian_wstd,0.75,all,1665,0.14174174174174173,0.0006006006006006006,0.14234234234234233,2.2573836672017764
CHEMBL214_Ki,mondrian_wstd,0.9,cliff,59,0.4576271186440678,0.0,0.4576271186440678,2.4703103547330594
CHEMBL214_Ki,mondrian_wstd,0.9,noncliff,623,0.1926163723916533,0.0,0.1926163723916533,2.2795998677345617
CHEMBL214_Ki,mondrian_wstd,0.9,all,682,0.2155425219941349,0.0,0.2155425219941349,2.2960982822989475
CHEMBL214_Ki,mondrian_rfstd,0.5,cliff,149,0.3691275167785235,0.026845637583892617,0.3959731543624161,2.0891544153397703
CHEMBL214_Ki,mondrian_rfstd,0.5,noncliff,3177,0.08341202392193893,0.0084985835694051,0.09191060749134404,2.124898311166686
CHEMBL214_Ki,mondrian_rfstd,0.5,all,3326,0.09621166566446182,0.009320505111244739,0.10553217077570655,2.1232970362183368
CHEMBL214_Ki,mondrian_rfstd,0.75,cliff,96,0.5,0.0,0.5,2.031041000976545
CHEMBL214_Ki,mondrian_rfstd,0.75,noncliff,1569,0.1312938177182919,0.004461440407903123,0.13575525812619502,2.1561042515386935
CHEMBL214_Ki,mondrian_rfstd,0.75,all,1665,0.15255255255255254,0.004204204204204204,0.15675675675675677,2.1488933974522273
CHEMBL214_Ki,mondrian_rfstd,0.9,cliff,59,0.5932203389830508,0.0,0.5932203389830508,1.9429865865294478
CHEMBL214_Ki,mondrian_rfstd,0.9,noncliff,623,0.1942215088282504,0.004815409309791332,0.19903691813804172,2.111598143559047
CHEMBL214_Ki,mondrian_rfstd,0.9,all,682,0.2287390029325513,0.004398826979472141,0.23313782991202345,2.097011513258833
CHEMBL214_Ki,mondrian_nb,0.5,cliff,149,0.348993288590604,0.040268456375838924,0.38926174496644295,2.009422249259736
CHEMBL214_Ki,mondrian_nb,0.5,noncliff,3177,0.09128108278249922,0.005036197670758577,0.09631728045325778,2.1569621100232004
CHEMBL214_Ki,mondrian_nb,0.5,all,3326,0.10282621767889356,0.00661455201443175,0.10944076969332532,2.150352537186834
CHEMBL214_Ki,mondrian_nb,0.75,cliff,96,0.4791666666666667,0.0,0.4791666666666667,2.0145449205049295
CHEMBL214_Ki,mondrian_nb,0.75,noncliff,1569,0.1586998087954111,0.0006373486297004461,0.15933715742511154,2.1390612460172402
CHEMBL214_Ki,mondrian_nb,0.75,all,1665,0.17717717717717718,0.0006006006006006006,0.17777777777777778,2.131881926348062
CHEMBL214_Ki,mondrian_nb,0.9,cliff,59,0.5932203389830508,0.0,0.5932203389830508,2.0283827797927505
CHEMBL214_Ki,mondrian_nb,0.9,noncliff,623,0.24719101123595505,0.0,0.24719101123595505,2.123200697073793
CHEMBL214_Ki,mondrian_nb,0.9,all,682,0.27712609970674484,0.0,0.27712609970674484,2.1149979740245533
CHEMBL219_Ki,global,0.5,cliff,73,0.1780821917808219,0.0,0.1780821917808219,2.38095582689241
CHEMBL219_Ki,global,0.5,noncliff,1804,0.058758314855875834,0.0016629711751662971,0.06042128603104213,2.3798791582216268
CHEMBL219_Ki,global,0.5,all,1877,0.0633990410229089,0.0015982951518380393,0.06499733617474694,2.379921031856665
CHEMBL219_Ki,global,0.75,cliff,50,0.24,0.0,0.24,2.3817032140882155
CHEMBL219_Ki,global,0.75,noncliff,884,0.1085972850678733,0.0,0.1085972850678733,2.376292966469574
CHEMBL219_Ki,global,0.75,all,934,0.11563169164882227,0.0,0.11563169164882227,2.3765825942864174
CHEMBL219_Ki,global,0.9,cliff,29,0.3448275862068966,0.0,0.3448275862068966,2.3823618144594265
CHEMBL219_Ki,global,0.9,noncliff,344,0.19767441860465115,0.0,0.19767441860465115,2.3798186751609136
CHEMBL219_Ki,global,0.9,all,373,0.20911528150134048,0.0,0.20911528150134048,2.3800163991278223
CHEMBL219_Ki,mondrian_wstd,0.5,cliff,73,0.0821917808219178,0.0,0.0821917808219178,2.5590634291655734
CHEMBL219_Ki,mondrian_wstd,0.5,noncliff,1804,0.06319290465631928,0.0011086474501108647,0.06430155210643015,2.4226904359186445
CHEMBL219_Ki,mondrian_wstd,0.5,all,1877,0.06393180607352157,0.0010655301012253596,0.06499733617474694,2.427994233738051
CHEMBL219_Ki,mondrian_wstd,0.75,cliff,50,0.1,0.0,0.1,2.590401380111983
CHEMBL219_Ki,mondrian_wstd,0.75,noncliff,884,0.1085972850678733,0.0,0.1085972850678733,2.476369690730963
CHEMBL219_Ki,mondrian_wstd,0.75,all,934,0.10813704496788008,0.0,0.10813704496788008,2.4824741708905464
CHEMBL219_Ki,mondrian_wstd,0.9,cliff,29,0.13793103448275862,0.0,0.13793103448275862,2.7363810810033726
CHEMBL219_Ki,mondrian_wstd,0.9,noncliff,344,0.18604651162790697,0.0,0.18604651162790697,2.4674360342793618
CHEMBL219_Ki,mondrian_wstd,0.9,all,373,0.18230563002680966,0.0,0.18230563002680966,2.4883459708879307
CHEMBL219_Ki,mondrian_rfstd,0.5,cliff,73,0.1643835616438356,0.0,0.1643835616438356,2.3811278423796756
CHEMBL219_Ki,mondrian_rfstd,0.5,noncliff,1804,0.0598669623059867,0.005543237250554324,0.06541019955654102,2.3453943406352824
CHEMBL219_Ki,mondrian_rfstd,0.5,all,1877,0.06393180607352157,0.005327650506126798,0.06925945657964838,2.346784082578458
CHEMBL219_Ki,mondrian_rfstd,0.75,cliff,50,0.2,0.0,0.2,2.3507024084843517
CHEMBL219_Ki,mondrian_rfstd,0.75,noncliff,884,0.10633484162895927,0.0,0.10633484162895927,2.405560614679526
CHEMBL219_Ki,mondrian_rfstd,0.75,all,934,0.11134903640256959,0.0,0.11134903640256959,2.4026238798725035
CHEMBL219_Ki,mondrian_rfstd,0.9,cliff,29,0.27586206896551724,0.0,0.27586206896551724,2.4522448194816904
CHEMBL219_Ki,mondrian_rfstd,0.9,noncliff,344,0.18023255813953487,0.0,0.18023255813953487,2.4599990919679224
CHEMBL219_Ki,mondrian_rfstd,0.9,all,373,0.1876675603217158,0.0,0.1876675603217158,2.459396212873819
CHEMBL219_Ki,mondrian_nb,0.5,cliff,73,0.2328767123287671,0.0,0.2328767123287671,2.110640405207153
CHEMBL219_Ki,mondrian_nb,0.5,noncliff,1804,0.06263858093126386,0.003880266075388027,0.06651884700665188,2.391760873969112
CHEMBL219_Ki,mondrian_nb,0.5,all,1877,0.06925945657964838,0.0037293553542887587,0.07298881193393714,2.380827579233032
CHEMBL219_Ki,mondrian_nb,0.75,cliff,50,0.32,0.0,0.32,2.064749180954608
CHEMBL219_Ki,mondrian_nb,0.75,noncliff,884,0.11085972850678733,0.0,0.11085972850678733,2.417071505454156
CHEMBL219_Ki,mondrian_nb,0.75,all,934,0.12205567451820129,0.0,0.12205567451820129,2.3982105673117817
CHEMBL219_Ki,mondrian_nb,0.9,cliff,29,0.4482758620689655,0.0,0.4482758620689655,2.048225281721716
CHEMBL219_Ki,mondrian_nb,0.9,noncliff,344,0.18895348837209303,0.0,0.18895348837209303,2.4155059477744487
CHEMBL219_Ki,mondrian_nb,0.9,all,373,0.20911528150134048,0.0,0.20911528150134048,2.3869506144888475
CHEMBL228_Ki,global,0.5,cliff,36,0.3888888888888889,0.0,0.3888888888888889,2.5140549995605266
CHEMBL228_Ki,global,0.5,noncliff,1670,0.07904191616766468,0.0005988023952095808,0.07964071856287425,2.522938255172237
CHEMBL228_Ki,global,0.5,all,1706,0.08558030480656506,0.0005861664712778429,0.08616647127784291,2.522750800774804
