dataset,seed,k,auc_fail,auc_cliffB,misalign,d_cov_cliffB_pp,d_cov_cliffA_pp,cov_cliffB,cov_cliffA,n_cliffB,n_cliffA
CHEMBL214_Ki,89165191,200,0.7184171958964338,0.5248219936708861,0.1935952022255477,-6.25,-5.660377358490576,0.59375,0.7169811320754716,32,53
CHEMBL219_Ki,71339737,2,0.5682110682110683,0.48527397260273974,0.08293709560832851,25.0,0.0,0.875,0.7894736842105263,8,19
CHEMBL219_Ki,71339737,5,0.6939350064350064,0.7152397260273973,-0.021304719592390886,0.0,0.0,0.625,0.7894736842105263,8,19
CHEMBL219_Ki,71339737,10,0.696911196911197,0.6938356164383561,0.0030755804728408442,25.0,0.0,0.875,0.7894736842105263,8,19
CHEMBL219_Ki,71339737,25,0.7207609395109396,0.6287671232876713,0.0919938162232683,0.0,-10.526315789473683,0.625,0.6842105263157895,8,19
CHEMBL219_Ki,71339737,50,0.7220881595881596,0.6335616438356164,0.08852651575254322,0.0,-10.526315789473683,0.625,0.6842105263157895,8,19
CHEMBL219_Ki,71339737,100,0.7125160875160875,0.6071917808219178,0.1053243066941697,25.0,-5.263157894736848,0.875,0.7368421052631579,8,19
CHEMBL219_Ki,71339737,200,0.7213642213642214,0.6339041095890411,0.08746011177518032,12.5,-10.526315789473683,0.75,0.6842105263157895,8,19
CHEMBL219_Ki,99182118,2,0.6179841316485454,0.435933147632312,0.18205098401623337,0.0,0.0,1.0,0.9285714285714286,14,28
CHEMBL219_Ki,99182118,5,0.6521451660299735,0.5612813370473537,0.0908638289826198,0.0,0.0,1.0,0.9285714285714286,14,28
CHEMBL219_Ki,99182118,10,0.6868939171319424,0.4880620771985674,0.19883183993337494,0.0,0.0,1.0,0.9285714285714286,14,28
CHEMBL219_Ki,99182118,25,0.7255362915074934,0.38101870274572225,0.3445175887617712,0.0,0.0,1.0,0.9285714285714286,14,28
CHEMBL219_Ki,99182118,50,0.733617396414928,0.4009152407481098,0.33270215566681816,0.0,-3.57142857142857,1.0,0.8928571428571429,14,28
CHEMBL219_Ki,99182118,100,0.7633705553923009,0.3985276561878233,0.3648428992044776,-7.14285714285714,-7.142857142857151,0.9285714285714286,0.8571428571428571,14,28
CHEMBL219_Ki,99182118,200,0.7626359094916251,0.39594110624751294,0.36669480324411213,0.0,0.0,1.0,0.9285714285714286,14,28
CHEMBL219_Ki,89709943,2,0.5870257452574525,0.5231967787114846,0.06382896654596792,6.25,3.2258064516129004,0.8125,0.9032258064516129,16,31
CHEMBL219_Ki,89709943,5,0.660840108401084,0.46673669467787116,0.19410341372321283,-6.25,-3.2258064516129004,0.6875,0.8387096774193549,16,31
CHEMBL219_Ki,89709943,10,0.7192073170731708,0.6154586834733894,0.10374863359978137,0.0,-3.2258064516129004,0.75,0.8387096774193549,16,31
CHEMBL219_Ki,89709943,25,0.7345189701897019,0.47540266106442575,0.25911630912527617,-6.25,-3.2258064516129004,0.6875,0.8387096774193549,16,31
CHEMBL219_Ki,89709943,50,0.7447493224932249,0.48678221288515405,0.25796710960807084,-6.25,-6.451612903225811,0.6875,0.8064516129032258,16,31
CHEMBL219_Ki,89709943,100,0.7589769647696477,0.5282738095238095,0.23070315524583818,-6.25,-6.451612903225811,0.6875,0.8064516129032258,16,31
CHEMBL219_Ki,89709943,200,0.7551151761517615,0.5393032212885154,0.2158119548632461,0.0,-3.2258064516129004,0.75,0.8387096774193549,16,31
CHEMBL219_Ki,86921808,2,0.5848516397709527,0.5544871794871795,0.030364460283773154,15.384615384615385,6.896551724137923,0.7692307692307693,0.8620689655172413,13,29
CHEMBL219_Ki,86921808,5,0.7067499566198161,0.4948717948717949,0.2118781617480212,15.384615384615385,10.344827586206895,0.7692307692307693,0.896551724137931,13,29
CHEMBL219_Ki,86921808,10,0.717855283706403,0.4356837606837607,0.28217152302264226,-15.384615384615385,-6.896551724137934,0.46153846153846156,0.7241379310344828,13,29
CHEMBL219_Ki,86921808,25,0.7012840534443866,0.5286324786324786,0.17265157481190796,7.692307692307687,6.896551724137923,0.6923076923076923,0.8620689655172413,13,29
CHEMBL219_Ki,86921808,50,0.7352073572791948,0.45918803418803417,0.2760193230911607,0.0,3.4482758620689613,0.6153846153846154,0.8275862068965517,13,29
CHEMBL219_Ki,86921808,100,0.7280930071143502,0.4938034188034188,0.23428958831093138,-7.692307692307699,0.0,0.5384615384615384,0.7931034482758621,13,29
CHEMBL219_Ki,86921808,200,0.7301752559430852,0.46303418803418805,0.26714106790889713,7.692307692307687,6.896551724137923,0.6923076923076923,0.8620689655172413,13,29
CHEMBL219_Ki,89165191,2,0.6572288163534454,0.4625816172777499,0.19464719907569555,0.0,0.0,0.9090909090909091,0.9629629629629629,11,27
CHEMBL219_Ki,89165191,5,0.6397955819320804,0.5386740331491713,0.10112154878290913,0.0,0.0,0.9090909090909091,0.9629629629629629,11,27
CHEMBL219_Ki,89165191,10,0.7258077810748433,0.5642893018583627,0.16151847921648066,0.0,-7.4074074074074066,0.9090909090909091,0.8888888888888888,11,27
CHEMBL219_Ki,89165191,25,0.7095697329376854,0.5072827724761426,0.20228696046154282,-9.090909090909083,-7.4074074074074066,0.8181818181818182,0.8888888888888888,11,27
CHEMBL219_Ki,89165191,50,0.7494642268381141,0.5100452034153692,0.2394190234227449,0.0,0.0,0.9090909090909091,0.9629629629629629,11,27
CHEMBL219_Ki,89165191,100,0.7536679854929114,0.47061778001004523,0.28305020548286614,0.0,0.0,0.9090909090909091,0.9629629629629629,11,27
