dataset,seed,method,n_test,n_cliff,cov_all,cov_cliff,cov_noncliff,size_all,size_cliff,size_noncliff,q_global,cov_global_class0,cov_global_class1
Tox21_NR-AR,20268842,mondrian_nnsim,1451,10,0.8952446588559614,0.0,0.9014573213046495,0.9152308752584425,0.3,0.919500346981263,0.07999999999999996,,
Tox21_NR-AR,20276761,global,1451,8,0.912474155754652,0.0,0.9175329175329175,0.926946933149552,0.125,0.9313929313929314,0.08499999999999996,0.9359886201991465,0.17777777777777778
Tox21_NR-AR,20276761,mondrian_predclass,1451,8,0.912474155754652,0.0,0.9175329175329175,0.926946933149552,0.125,0.9313929313929314,0.08499999999999996,,
Tox21_NR-AR,20276761,mondrian_nnsim,1451,8,0.9166092350103378,0.125,0.920997920997921,0.9310820124052378,0.25,0.9348579348579349,0.08499999999999996,,
Tox21_NR-AR,20284680,global,1451,7,0.8993797381116472,0.14285714285714285,0.9030470914127424,0.9172984148862853,0.42857142857142855,0.9196675900277008,0.07908333333333328,0.9316546762589928,0.16393442622950818
Tox21_NR-AR,20284680,mondrian_predclass,1451,7,0.8993797381116472,0.14285714285714285,0.9030470914127424,0.9172984148862853,0.42857142857142855,0.9196675900277008,0.07908333333333328,,
Tox21_NR-AR,20284680,mondrian_nnsim,1451,7,0.9048931771192281,0.14285714285714285,0.9085872576177285,0.923501033769814,0.42857142857142855,0.9259002770083102,0.07908333333333328,,
Tox21_NR-AR,20292599,global,1451,6,0.8973121984838043,0.0,0.9010380622837371,0.9131633356305996,0.0,0.916955017301038,0.07999999999999996,0.9294456443484521,0.1774193548387097
Tox21_NR-AR,20292599,mondrian_predclass,1451,6,0.8973121984838043,0.0,0.9010380622837371,0.9131633356305996,0.0,0.916955017301038,0.07999999999999996,,
Tox21_NR-AR,20292599,mondrian_nnsim,1451,6,0.8973121984838043,0.0,0.9010380622837371,0.9131633356305996,0.0,0.916955017301038,0.07999999999999996,,
