config,method,delta_mean,wilcoxon_p,n_ds_delta_pos,n_ds,meta_delta,meta_p,meta_I2,worst_group_delta,width_delta
base,mondrian_pair,-0.0172398230748335,0.0193988601953638,6,15,-0.0073281588686994,0.2872712508472314,50.00719962108631,0.00115881062853,0.023133479059691
base,mondrian_nb,-0.0424963350838472,0.0004691464399192,3,15,-0.0307352523750203,0.0033781821685246,47.60203481711812,0.0134715062419036,0.0598946870605557
base,mondrian_rfstd,-0.0425941205681973,0.0005004818357821,3,15,-0.0365088979511025,0.0076835590709533,51.453262665242974,0.0418753419678336,-0.0312255252374983
bins03,mondrian_wstd,0.0156211337697153,0.1840750729191058,11,15,0.0114097790334906,0.3203489058334308,68.38872525581185,0.0248351652576224,0.0094636417597687
bins03,mondrian_std,0.0142132876566968,0.1719251634373491,10,15,0.0111775716572102,0.3632109639146096,72.78763267340213,0.025451172417855,0.0130683280608806
bins03,mondrian_iqr,0.0074136054047095,0.3344287637041966,10,15,0.0015728381567573,0.8362006962745787,18.08932187385119,0.0225716347861478,0.0039057898737859
bins03,mondrian_nnsim,-0.0149297293850234,0.0683348579109077,5,15,-0.010855277348518,0.1431958142258268,58.65482307630239,0.002968993262386,0.0412064040212101
bins03,mondrian_pair,-0.0172398230748335,0.0193988601953638,6,15,-0.0073281588686994,0.2872712508472314,50.00719962108631,0.0003844528606418,0.0231334790596907
bins03,mondrian_pairgap,-0.0219264693690951,0.0024177356288354,3,15,-0.0166285738594249,0.0361970720950082,48.08792617566095,0.0046594776972613,0.0512833535929362
bins03,mondrian_nb,-0.0451378419780248,2.208891620623636e-05,1,15,-0.0375001307451579,0.0021351374262774,70.22557429134731,0.0018201932826567,0.0277385553635019
bins03,mondrian_rfstd,-0.0534331683346061,9.585055642568282e-05,2,15,-0.0374408757965375,0.0018305016661939,36.609558515037655,0.0235728548686287,-0.0519685924648083
bins08,mondrian_wstd,0.0255796514968179,0.0061106017095713,11,15,0.0214235170776766,0.1138667933857784,76.71955037709496,0.0447973921530728,0.0754129811209798
bins08,mondrian_std,0.021313531358234,0.0182723415102303,11,15,0.0184361974015008,0.168016421659726,73.52178844064977,0.0441618481724887,0.0729631420776738
bins08,mondrian_iqr,0.017968568598167,0.023189511143665,10,15,0.01862520458713,0.0369924085465149,53.93696847743792,0.0485932141677627,0.0737849543787005
bins08,mondrian_nnsim,0.0089105286717486,0.4445799321845108,9,15,0.0035694642454501,0.7562483775672679,55.7902943751397,0.0201402707979917,0.1133207769886508
bins08,mondrian_pairgap,-0.0102963053088078,0.4276730416526241,6,15,-0.0006205134751671,0.9544995534015852,60.5704804943832,0.0164002381762034,0.069260248550636
bins08,mondrian_pair,-0.0172398230748335,0.0193988601953638,6,15,-0.0073281588686994,0.2872712508472314,50.00719962108631,0.0022148367242028,0.0231334790596912
bins08,mondrian_rfstd,-0.0307625169320574,0.00863540429257,3,15,-0.0333833493803125,0.0186612099402737,45.43530447112891,0.0477990813226311,-0.0132184956466299
bins08,mondrian_nb,-0.0375081883113146,0.0008099302831495,3,15,-0.0342912492760382,0.0095760078817994,72.81760040062895,0.0180409496473923,0.0700231977341675
sim075,mondrian_wstd,0.0157549695055639,0.0093857406699698,11,15,0.0130054730146135,0.0575424055716374,65.83324365562284,0.038716897148327,0.0337037535227539
sim075,mondrian_std,0.0132551908992225,0.0174219298723663,12,15,0.0096351743179091,0.1316112243325211,59.25203892036919,0.0379149133400662,0.0313041549670546
sim075,mondrian_iqr,0.0071106045337867,0.4377316383042362,9,15,0.0039508811987692,0.6323279924827052,68.6954777836436,0.0413426552942551,0.0463386571969932
sim075,mondrian_pairgap,-0.0044382787781687,0.5900786412686605,5,15,-0.003571180821994,0.5437698695262618,53.7816499225898,0.0208407135077941,0.0611203958871343
sim075,mondrian_pair,-0.0082197334870185,0.056294293886509,4,15,-0.0056342885907612,0.1742363915725497,63.441635972335455,0.0038736352813834,0.0264008111545694
sim075,mondrian_rfstd,-0.0147230267166791,0.0342851691955235,5,15,-0.011699030476279,0.0302704194407689,7.251047793314772,0.0444170512844757,-0.0353994925461407
sim075,mondrian_nb,-0.0188048091147091,0.0201680407907796,5,15,-0.0190866237512068,0.0042835156503168,41.054396806237385,0.0135269494467257,0.0637561746651036
sim075,mondrian_nnsim,-0.0241891896369716,4.606228585276459e-05,3,15,-0.0229478972941989,0.0002448344046309,67.17238401003962,0.0119172247273899,0.0772357138508658
sim095,mondrian_nnsim,0.1896969696969697,0.125,1,1,0.1896969696969697,0.0036871664080443,0.0,0.0275946019025081,0.0209553557755569
sim095,mondrian_pair,0.163030303030303,0.125,1,1,0.163030303030303,0.0006499925694664,0.0,0.005171785370585,0.0057485874281988
sim095,mondrian_std,0.1312121212121212,0.375,1,1,0.1312121212121212,0.1488678894325385,0.0,0.0722868827465836,0.0217012067289934
sim095,mondrian_wstd,0.1312121212121212,0.375,1,1,0.1312121212121212,0.1488678894325385,0.0,0.0610541893126017,0.021150233702063
sim095,mondrian_iqr,0.063030303030303,0.5,1,1,0.063030303030303,0.4360447173991859,0.0,0.0671685631141476,0.0102212139508366
sim095,mondrian_pairgap,0.0515151515151515,0.5,1,1,0.0515151515151515,0.1268492940151452,100.0,-0.0027598566308243,-0.0037921277552348
sim095,mondrian_nb,0.0133333333333333,1.0,1,1,0.0133333333333333,0.7562110131749695,0.0,0.0277288316905538,0.0437380978914008
sim095,mondrian_rfstd,-0.0451515151515151,0.8125,0,1,-0.0451515151515151,0.6203084749811049,0.0,0.0589571043906578,-0.0241400638104255
