dataset,split,seed,signal,auc_fail,auc_cliffB,auc_cliffA,misalignB,misalignA
CHEMBL236_Ki,random,98978916,rf_std,0.7865204221223373,0.5246842105263158,0.5397325121794283,0.26183621159602155,0.246787909942909
CHEMBL236_Ki,random,98978916,d_wstd,0.5451133909287257,0.612603305785124,0.6851155931880887,-0.06748991485639833,-0.140002202259363
CHEMBL236_Ki,random,98978916,d_nb,0.6139339456712918,0.41221052631578947,0.3616370989980697,0.2017234193555023,0.2522968466732221
CHEMBL236_Ki,random,98978916,d_nn_sim,0.6675215982721382,0.10580687255328404,0.2115165065169822,0.5617147257188542,0.456005091755156
CHEMBL236_Ki,random,91819329,rf_std,0.7747534202990773,0.5828074201568177,0.4601913875598086,0.1919460001422596,0.31456203273926875
CHEMBL236_Ki,random,91819329,d_wstd,0.5872830006319467,0.6723096723096723,0.6796843985708615,-0.0850266716777256,-0.09240139793891478
CHEMBL236_Ki,random,91819329,d_nb,0.5951161310849507,0.35881621724995216,0.310933014354067,0.2362999138349985,0.28418311673088364
CHEMBL236_Ki,random,91819329,d_nn_sim,0.6620571725958143,0.15255915255915256,0.12482631996824137,0.5094980200366618,0.537230852627573
CHEMBL237_EC50,random,6021738,rf_std,0.5871794871794872,0.3896428571428571,0.4169254658385093,0.19753663003663008,0.1702540213409779
CHEMBL237_EC50,random,6021738,d_wstd,0.6496815286624203,0.6265243902439024,0.6059263361949598,0.023157138418517964,0.04375519246746051
CHEMBL237_EC50,random,6021738,d_nb,0.4811188811188811,0.24642857142857144,0.29101966873706003,0.23469030969030968,0.1900992123818211
CHEMBL237_EC50,random,6021738,d_nn_sim,0.5703406258654112,0.10194359756097561,0.14386596510661867,0.46839702830443564,0.4264746607587926
CHEMBL237_EC50,random,98978916,rf_std,0.6400560224089635,0.5296610169491526,0.434060534591195,0.11039500545981096,0.20599548781776855
CHEMBL237_EC50,random,98978916,d_wstd,0.6733044733044733,0.6939368770764119,0.6038961038961039,-0.020632403771938645,0.06940836940836936
