dataset,split,seed,method,n_test,n_cliffB,n_cliffA,cov_all,cov_cliffB,cov_noncliffB,gapB_pp,cov_cliffA,cov_noncliffA,gapA_pp,width_all,width_cliffA,width_noncliffA
CHEMBL228_Ki,random,6021738,mondrian_wstd,341,7,13,0.8885630498533724,0.7142857142857143,0.8922155688622755,17.79298545765612,0.6923076923076923,0.8963414634146342,20.403377110694187,2.4068747938053763,2.4217894913601725,2.4062836624998507
CHEMBL228_Ki,random,6021738,mondrian_nb,341,7,13,0.8944281524926686,0.5714285714285714,0.9011976047904192,32.97690333618478,0.6153846153846154,0.9054878048780488,29.01031894934334,2.5483244169418273,2.295893983702583,2.5583292816738705
CHEMBL228_Ki,random,6021738,mondrian_rfstd,341,7,13,0.9325513196480938,0.7142857142857143,0.937125748502994,22.28400342172797,0.6923076923076923,0.9420731707317073,24.976547842401498,2.6363760923328936,2.7134546094161225,2.633321151107034
CHEMBL228_Ki,random,98978916,global,341,6,17,0.9266862170087976,0.3333333333333333,0.9373134328358209,60.398009950248756,0.6470588235294118,0.941358024691358,29.42992011619462,2.7519715892181567,2.751971589218156,2.7519715892181567
CHEMBL228_Ki,random,98978916,mondrian_wstd,341,6,17,0.9442815249266863,0.3333333333333333,0.9552238805970149,62.189054726368155,0.6470588235294118,0.9598765432098766,31.281771968046478,2.879368275422476,2.756360149971229,2.8858224054615844
CHEMBL228_Ki,random,98978916,mondrian_nb,341,6,17,0.9296187683284457,0.3333333333333333,0.9402985074626866,60.696517412935336,0.5882352941176471,0.9475308641975309,35.92955700798838,2.643619219116666,2.16836847124636,2.6685552151468985
CHEMBL228_Ki,random,98978916,mondrian_rfstd,341,6,17,0.9354838709677419,0.5,0.9432835820895522,44.32835820895522,0.6470588235294118,0.9506172839506173,30.35584604212055,2.649437062845315,2.6669365827192038,2.6485188781605737
CHEMBL228_Ki,random,91819329,global,341,10,20,0.8885630498533724,0.7,0.8942598187311178,19.425981873111787,0.7,0.9003115264797508,20.03115264797508,2.692955845389049,2.69295584538905,2.692955845389049
CHEMBL228_Ki,random,91819329,mondrian_wstd,341,10,20,0.9178885630498533,0.5,0.9305135951661632,43.051359516616316,0.65,0.9345794392523364,28.457943925233643,2.8201594940600194,2.620888782868465,2.832575114695007
CHEMBL228_Ki,random,91819329,mondrian_nb,341,10,20,0.9149560117302052,0.6,0.9244712990936556,32.44712990936556,0.75,0.9252336448598131,17.523364485981308,2.6943356735304276,2.5690627145497644,2.7021408423142694
CHEMBL228_Ki,random,91819329,mondrian_rfstd,341,10,20,0.9090909090909091,0.5,0.9214501510574018,42.14501510574018,0.7,0.9221183800623053,22.211838006230533,2.7933547328292896,2.6780410718392855,2.8005393846043676
CHEMBL233_Ki,random,6021738,global,629,25,51,0.8998410174880763,0.64,0.9105960264900662,27.05960264900662,0.7843137254901961,0.9100346020761245,12.572087658592846,2.407873879925587,2.407873879925587,2.407873879925587
CHEMBL233_Ki,random,6021738,mondrian_wstd,629,25,51,0.8998410174880763,0.64,0.9105960264900662,27.05960264900662,0.7843137254901961,0.9100346020761245,12.572087658592846,2.406537935556317,2.425447444025666,2.4048694495149037
CHEMBL233_Ki,random,6021738,mondrian_nb,629,25,51,0.9062003179650239,0.64,0.9172185430463576,27.721854304635762,0.7843137254901961,0.916955017301038,13.264129181084193,2.452656168438351,2.3516409882552645,2.4615692725721527
CHEMBL233_Ki,random,6021738,mondrian_rfstd,629,25,51,0.9093799682034976,0.64,0.9205298013245033,28.052980132450333,0.7843137254901961,0.9204152249134948,13.610149942329874,2.3924308308930944,2.3672834399923643,2.394649718325512
CHEMBL233_Ki,random,98978916,global,629,27,56,0.9141494435612083,0.7777777777777778,0.920265780730897,14.248800295311925,0.8214285714285714,0.9232111692844677,10.178259785589628,2.5843457055829817,2.584345705582981,2.5843457055829813
CHEMBL233_Ki,random,98978916,mondrian_wstd,629,27,56,0.9300476947535771,0.8148148148148148,0.9352159468438538,12.040113202903902,0.8571428571428571,0.93717277486911,8.00299177262529,2.6214669082885598,2.617173416818662,2.621886516529946
CHEMBL233_Ki,random,98978916,mondrian_nb,629,27,56,0.9141494435612083,0.6666666666666666,0.925249169435216,25.858250276854932,0.7857142857142857,0.9267015706806283,14.09872849663426,2.5616925460081412,2.486786108679055,2.5690132449443173
CHEMBL233_Ki,random,98978916,mondrian_rfstd,629,27,56,0.9077901430842608,0.5555555555555556,0.9235880398671097,36.80324843115541,0.6964285714285714,0.9284467713787086,23.201819995013718,2.4203753393908554,2.3624708263173297,2.426034419202579
CHEMBL233_Ki,random,91819329,global,629,19,53,0.9348171701112877,0.8947368421052632,0.9360655737704918,4.132873166522866,0.8867924528301887,0.9392361111111112,5.244365828092246,2.80318045957425,2.8031804595742513,2.80318045957425
CHEMBL233_Ki,random,91819329,mondrian_wstd,629,19,53,0.9205087440381559,0.8421052631578947,0.9229508196721311,8.084555651423642,0.8867924528301887,0.9236111111111112,3.6818658280922456,2.7087363209027515,2.87347608298221,2.69357797473919
CHEMBL233_Ki,random,91819329,mondrian_nb,629,19,53,0.9220985691573926,0.7368421052631579,0.9278688524590164,19.102674719585856,0.8113207547169812,0.9322916666666666,12.097091194968545,2.6334621514566057,2.4274121556061936,2.652421612880341
CHEMBL233_Ki,random,91819329,mondrian_rfstd,629,19,53,0.931637519872814,0.8947368421052632,0.9327868852459016,3.8050043140638423,0.8490566037735849,0.9392361111111112,9.017950733752622,2.558260194632409,2.5165650095629113,2.5620967307585953
CHEMBL234_Ki,random,6021738,global,732,23,46,0.9330601092896175,0.8260869565217391,0.9365303244005642,11.044336787882504,0.8913043478260869,0.9358600583090378,4.455571048295093,2.4201115188201174,2.4201115188201183,2.420111518820118
CHEMBL234_Ki,random,6021738,mondrian_wstd,732,23,46,0.9221311475409836,0.8260869565217391,0.92524682651622,9.91598699944809,0.8478260869565217,0.9271137026239067,7.928761566738496,2.2739714149997985,2.2851562549895363,2.27322141115209
CHEMBL234_Ki,random,6021738,mondrian_nb,732,23,46,0.9344262295081968,0.7391304347826086,0.9407616361071932,20.163120132458456,0.8260869565217391,0.9416909620991254,11.560400557738626,2.2894514647433533,2.0186215283162476,2.3076120727253455
CHEMBL234_Ki,random,6021738,mondrian_rfstd,732,23,46,0.930327868852459,0.6956521739130435,0.9379407616361072,24.22885877230637,0.7608695652173914,0.9416909620991254,18.082139688173406,2.201199923449293,2.3114618657705948,2.1938062655093806
