seed,method,bin_var,bin,bin_lo,bin_hi,n,k,coverage,ci_lo,ci_hi,dataset
89709943,global,worst_d_wstd,0,-inf,0.3646136776958754,121,112,0.9256198347107438,0.8646691146497353,0.9603773160230725,CHEMBL233_Ki
89709943,global,worst_d_wstd,1,0.3646136776958754,0.6275983520782811,121,116,0.9586776859504132,0.9069051929166947,0.9822225139248748,CHEMBL233_Ki
89709943,global,worst_d_wstd,2,0.6275983520782811,0.7922961168320345,120,105,0.875,0.8039705979199262,0.9227650272660463,CHEMBL233_Ki
89709943,global,worst_d_wstd,3,0.7922961168320345,0.9409264811230582,121,108,0.8925619834710744,0.8248348380619106,0.9361303164421355,CHEMBL233_Ki
89709943,global,worst_d_wstd,4,0.9409264811230582,inf,146,122,0.8356164383561644,0.7670494253514148,0.886975173523256,CHEMBL233_Ki
89709943,global,worst_rf_std,0,-inf,0.4705680744318726,126,122,0.9682539682539683,0.9212139122353924,0.9875867210273106,CHEMBL233_Ki
89709943,global,worst_rf_std,1,0.4705680744318726,0.5934915103322602,126,121,0.9603174603174603,0.9104643457790981,0.9829328869198303,CHEMBL233_Ki
89709943,global,worst_rf_std,2,0.5934915103322602,0.7304985245218567,125,113,0.904,0.8396803879985666,0.9442287738851058,CHEMBL233_Ki
89709943,global,worst_rf_std,3,0.7304985245218567,0.9624458748745918,126,111,0.8809523809523809,0.8128498826548355,0.9265133444063466,CHEMBL233_Ki
89709943,global,worst_rf_std,4,0.9624458748745918,inf,126,96,0.7619047619047619,0.680487433986594,0.8278247846179686,CHEMBL233_Ki
89709943,mondrian_pair,worst_d_wstd,0,-inf,0.3646136776958754,121,112,0.9256198347107438,0.8646691146497353,0.9603773160230725,CHEMBL233_Ki
89709943,mondrian_pair,worst_d_wstd,1,0.3646136776958754,0.6275983520782811,121,116,0.9586776859504132,0.9069051929166947,0.9822225139248748,CHEMBL233_Ki
89709943,mondrian_pair,worst_d_wstd,2,0.6275983520782811,0.7922961168320345,120,105,0.875,0.8039705979199262,0.9227650272660463,CHEMBL233_Ki
89709943,mondrian_pair,worst_d_wstd,3,0.7922961168320345,0.9409264811230582,121,108,0.8925619834710744,0.8248348380619106,0.9361303164421355,CHEMBL233_Ki
89709943,mondrian_pair,worst_d_wstd,4,0.9409264811230582,inf,146,122,0.8356164383561644,0.7670494253514148,0.886975173523256,CHEMBL233_Ki
89709943,mondrian_pair,worst_rf_std,0,-inf,0.4705680744318726,126,122,0.9682539682539683,0.9212139122353924,0.9875867210273106,CHEMBL233_Ki
89709943,mondrian_pair,worst_rf_std,1,0.4705680744318726,0.5934915103322602,126,121,0.9603174603174603,0.9104643457790981,0.9829328869198303,CHEMBL233_Ki
89709943,mondrian_pair,worst_rf_std,2,0.5934915103322602,0.7304985245218567,125,113,0.904,0.8396803879985666,0.9442287738851058,CHEMBL233_Ki
89709943,mondrian_pair,worst_rf_std,3,0.7304985245218567,0.9624458748745918,126,111,0.8809523809523809,0.8128498826548355,0.9265133444063466,CHEMBL233_Ki
89709943,mondrian_pair,worst_rf_std,4,0.9624458748745918,inf,126,96,0.7619047619047619,0.680487433986594,0.8278247846179686,CHEMBL233_Ki
89709943,mondrian_wstd,worst_d_wstd,0,-inf,0.3646136776958754,121,105,0.8677685950413223,0.7959633756720691,0.9169408217054055,CHEMBL233_Ki
89709943,mondrian_wstd,worst_d_wstd,1,0.3646136776958754,0.6275983520782811,121,110,0.9090909090909091,0.8445270273318659,0.9484787652565609,CHEMBL233_Ki
89709943,mondrian_wstd,worst_d_wstd,2,0.6275983520782811,0.7922961168320345,120,102,0.85,0.775324706432755,0.9029618770741527,CHEMBL233_Ki
89709943,mondrian_wstd,worst_d_wstd,3,0.7922961168320345,0.9409264811230582,121,108,0.8925619834710744,0.8248348380619106,0.9361303164421355,CHEMBL233_Ki
89709943,mondrian_wstd,worst_d_wstd,4,0.9409264811230582,inf,146,135,0.9246575342465754,0.8701296491414375,0.9574116800469218,CHEMBL233_Ki
89709943,mondrian_wstd,worst_rf_std,0,-inf,0.4705680744318726,126,121,0.9603174603174603,0.9104643457790981,0.9829328869198303,CHEMBL233_Ki
89709943,mondrian_wstd,worst_rf_std,1,0.4705680744318726,0.5934915103322602,126,116,0.9206349206349206,0.8600591015126653,0.9563211283673898,CHEMBL233_Ki
89709943,mondrian_wstd,worst_rf_std,2,0.5934915103322602,0.7304985245218567,125,115,0.92,0.8589881016125887,0.9559669676724172,CHEMBL233_Ki
89709943,mondrian_wstd,worst_rf_std,3,0.7304985245218567,0.9624458748745918,126,110,0.873015873015873,0.8036562871490389,0.9203035393483685,CHEMBL233_Ki
89709943,mondrian_wstd,worst_rf_std,4,0.9624458748745918,inf,126,98,0.7777777777777778,0.697579451167011,0.8415395685651008,CHEMBL233_Ki
89709943,mondrian_rfstd,worst_d_wstd,0,-inf,0.3646136776958754,121,109,0.9008264462809917,0.8346307100233649,0.9423547635228716,CHEMBL233_Ki
89709943,mondrian_rfstd,worst_d_wstd,1,0.3646136776958754,0.6275983520782811,121,114,0.9421487603305785,0.8853898222394644,0.9716972465177242,CHEMBL233_Ki
89709943,mondrian_rfstd,worst_d_wstd,2,0.6275983520782811,0.7922961168320345,120,107,0.8916666666666667,0.8234463978470834,0.9355885884582658,CHEMBL233_Ki
89709943,mondrian_rfstd,worst_d_wstd,3,0.7922961168320345,0.9409264811230582,121,107,0.8842975206611571,0.8151300267053524,0.9298148087565034,CHEMBL233_Ki
89709943,mondrian_rfstd,worst_d_wstd,4,0.9409264811230582,inf,146,126,0.863013698630137,0.7978732897610338,0.9095410722870797,CHEMBL233_Ki
89709943,mondrian_rfstd,worst_rf_std,0,-inf,0.4705680744318726,126,110,0.873015873015873,0.8036562871490389,0.9203035393483685,CHEMBL233_Ki
89709943,mondrian_rfstd,worst_rf_std,1,0.4705680744318726,0.5934915103322602,126,119,0.9444444444444444,0.8897591867415384,0.9728312448298406,CHEMBL233_Ki
89709943,mondrian_rfstd,worst_rf_std,2,0.5934915103322602,0.7304985245218567,125,109,0.872,0.8021643758872008,0.9196529711938044,CHEMBL233_Ki
89709943,mondrian_rfstd,worst_rf_std,3,0.7304985245218567,0.9624458748745918,126,112,0.8888888888888888,0.8221164243496584,0.9326502032752981,CHEMBL233_Ki
89709943,mondrian_rfstd,worst_rf_std,4,0.9624458748745918,inf,126,113,0.8968253968253969,0.8314622980954791,0.9387077300932523,CHEMBL233_Ki
86921808,global,worst_d_wstd,0,-inf,0.3970801965735497,122,112,0.9180327868852459,0.8556745297110475,0.954869157209614,CHEMBL233_Ki
86921808,global,worst_d_wstd,1,0.3970801965735497,0.6132706761136091,121,112,0.9256198347107438,0.8646691146497353,0.9603773160230725,CHEMBL233_Ki
