dataset,seed,group_def,side,n,rf_std_mean,d_wstd_mean,d_std_mean,d_nb_mean,d_nn_sim_mean,d_pair_gap_mean
CHEMBL235_EC50,86921808,cliffA,noncliff,439,0.6305020989269886,0.5748744362641943,0.5798283965894805,13.542141230068337,0.7903517839111991,0.6152425877410163
CHEMBL235_EC50,89165191,cliffB_oracle,cliff,26,0.7661538515399258,0.8704986982729633,0.8851167107879648,18.96153846153846,0.8848099234023172,1.457081859908976
CHEMBL235_EC50,89165191,cliffB_oracle,noncliff,444,0.6629390094792551,0.6118364034192078,0.6168721122806642,14.17117117117117,0.7967894333825293,0.7048715708408652
CHEMBL235_EC50,89165191,cliffA,cliff,45,0.77141098187897,0.8927612087053451,0.9004156418570858,18.644444444444446,0.8709096758192928,1.4715472411251338
CHEMBL235_EC50,89165191,cliffA,noncliff,425,0.6577680615629968,0.5974762175656192,0.6028306091987488,13.990588235294117,0.7942484669525781,0.6697117175537565
CHEMBL235_EC50,34332121,cliffB_oracle,cliff,18,0.743922359788487,0.7933264451736961,0.7883463275900743,17.055555555555557,0.8805379932318472,0.8623068513430989
CHEMBL235_EC50,34332121,cliffB_oracle,noncliff,452,0.6634851345455708,0.58796887200864,0.5919524619522917,14.369469026548673,0.7881661508969372,0.6608074229203431
CHEMBL235_EC50,34332121,cliffA,cliff,39,0.7399403201995991,0.8323512772002735,0.8283825074396843,19.871794871794872,0.8769552392723303,1.3252644002562102
CHEMBL235_EC50,34332121,cliffA,noncliff,431,0.6599262431624277,0.5742001649142777,0.5785306586344571,13.983758700696056,0.7839511454874876,0.6090978349748923
CHEMBL235_EC50,57652534,cliffB_oracle,cliff,14,0.9174784541448686,1.0048241808719467,1.0169099475391814,21.285714285714285,0.8799773383888235,1.913492114668817
CHEMBL235_EC50,57652534,cliffB_oracle,noncliff,456,0.6792169269243226,0.5808075033650839,0.5859624399981055,13.868421052631579,0.780385406783391,0.7090319868296157
CHEMBL235_EC50,57652534,cliffA,cliff,34,0.8022841673455127,0.9258736037185421,0.9378125611218124,20.323529411764707,0.8494043439022586,1.6078792873275118
CHEMBL235_EC50,57652534,cliffA,noncliff,436,0.6772705397838802,0.5667735713386396,0.5716049605486359,13.603211009174313,0.7780794580677362,0.677613715207644
CHEMBL235_EC50,65555877,cliffB_oracle,cliff,23,0.6841574965564837,0.8119584433349931,0.8103519611422196,19.130434782608695,0.8938759355689762,1.167881658888223
CHEMBL235_EC50,65555877,cliffB_oracle,noncliff,447,0.63408065372783,0.5779531464731001,0.5850898284170406,14.208053691275168,0.789788138864828,0.6594210402020175
CHEMBL235_EC50,65555877,cliffA,cliff,41,0.7260763415456046,0.8918055826248588,0.8958660808689536,23.73170731707317,0.8825746213740353,1.3915293227729904
CHEMBL235_EC50,65555877,cliffA,noncliff,429,0.6279732975146138,0.5598276548159608,0.5667828131680107,13.561771561771561,0.7863735469551862,0.6167127759697864
CHEMBL235_EC50,80882938,cliffB_oracle,cliff,20,0.8658550829511992,0.9662869325001913,0.9718271580188942,24.9,0.8808399293848239,1.7314410255649526
CHEMBL235_EC50,80882938,cliffB_oracle,noncliff,450,0.6408186144581491,0.5823035632526348,0.588049495056101,13.882222222222222,0.7918424628673748,0.52680085815151
CHEMBL235_EC50,80882938,cliffA,cliff,44,0.7536151269385066,0.8352523601183703,0.8393781151806083,20.795454545454547,0.8538682848366697,1.2442662414022934
CHEMBL235_EC50,80882938,cliffA,noncliff,426,0.6397333628636075,0.5750874306952579,0.5809900617571466,13.685446009389672,0.7898200726900183,0.509252328774126
CHEMBL235_EC50,62569839,cliffB_oracle,cliff,23,0.7430913322754806,0.8083456591757469,0.8098540770319644,14.91304347826087,0.8770497706915947,1.1157759235774267
CHEMBL235_EC50,62569839,cliffB_oracle,noncliff,447,0.6569663533878276,0.6043426679106166,0.6096741052713485,14.809843400447427,0.7991733091704168,0.6773160413941286
CHEMBL235_EC50,62569839,cliffA,cliff,42,0.7375524602469636,0.8357636266871877,0.8364552540930047,19.714285714285715,0.8667712711615942,1.3819558281953195
CHEMBL235_EC50,62569839,cliffA,noncliff,428,0.6536865824213143,0.5918361717177858,0.5974336353708126,14.33411214953271,0.7965664539747891,0.6317312429001235
CHEMBL235_EC50,69881227,cliffB_oracle,cliff,24,0.7576262731993902,0.8076716694601748,0.8006016040866027,18.958333333333332,0.8803716822459032,1.331501475050018
CHEMBL235_EC50,69881227,cliffB_oracle,noncliff,446,0.6131878757429126,0.5544168883575294,0.5590737900312753,14.210762331838565,0.7910048401334189,0.6589953594984808
CHEMBL235_EC50,69881227,cliffA,cliff,37,0.765471454278902,0.8190345133320749,0.8157913804349699,20.72972972972973,0.866156013572845,1.3239175584910052
CHEMBL235_EC50,69881227,cliffA,noncliff,433,0.6081810146184873,0.5454705332307952,0.5501535892900492,13.916859122401847,0.7894728179489392,0.6394526930100592
CHEMBL235_EC50,86624677,cliffB_oracle,cliff,17,0.6261868040504802,0.7488699714278768,0.7601610288718793,18.058823529411764,0.880630120306419,1.2968103429811357
CHEMBL235_EC50,86624677,cliffB_oracle,noncliff,453,0.6517548547885254,0.5995215152001182,0.6029210364061274,15.026490066225165,0.7959840410740756,0.8040492599610273
CHEMBL235_EC50,86624677,cliffA,cliff,39,0.6631598327677485,0.8066174028690106,0.8138820600379374,21.94871794871795,0.8833269206694467,1.6307470886256066
CHEMBL235_EC50,86624677,cliffA,noncliff,431,0.6497143652206914,0.5862731518909917,0.5896329980096613,14.519721577726218,0.7912773689274973,0.7486797079736103
CHEMBL235_EC50,29635333,cliffB_oracle,cliff,15,0.8677548189321107,0.841350570989175,0.8415022024998744,18.666666666666668,0.880529398825342,1.2641168013494806
