rule,dataset,seed,n,coverage,cov_cliffA,cov_cliffB,n_cliffB,cov_noncliffB,worst_ws,spread_ws,worst_rf,spread_rf,width
wstd,CHEMBL219_Ki,62569839,373,0.9115281501340483,0.9285714285714286,1.0,11,0.9088397790055248,0.85,0.09392523364485983,0.8354430379746836,0.1319482663731425,2.65892566142588
wstd,CHEMBL228_Ki,71339737,341,0.8621700879765396,0.6111111111111112,0.6363636363636364,11,0.8696969696969697,0.7903225806451613,0.12012518054886856,0.7352941176470589,0.17542016806722682,2.4082324845397336
wstd,CHEMBL228_Ki,99182118,341,0.8973607038123167,0.7222222222222222,0.4444444444444444,9,0.9096385542168675,0.8392857142857143,0.08134920634920628,0.8414634146341463,0.1367974549310711,2.5962971035503695
wstd,CHEMBL228_Ki,89709943,341,0.9237536656891495,0.8888888888888888,1.0,3,0.9230769230769231,0.8888888888888888,0.07539682539682546,0.8840579710144928,0.09371980676328495,2.526047851467743
wstd,CHEMBL228_Ki,86921808,341,0.906158357771261,0.8461538461538461,0.875,8,0.9069069069069069,0.8235294117647058,0.14661984196663747,0.8,0.18611111111111112,2.5438976197567205
wstd,CHEMBL228_Ki,89165191,341,0.9296187683284457,0.8571428571428571,0.6666666666666666,6,0.9343283582089552,0.873015873015873,0.10880230880230879,0.8032786885245902,0.18320779796189635,2.670399263368193
wstd,CHEMBL228_Ki,34332121,341,0.9208211143695014,0.6842105263157895,0.45454545454545453,11,0.9363636363636364,0.8703703703703703,0.08044930176077714,0.8714285714285714,0.09059674502712478,2.6049347688936813
wstd,CHEMBL228_Ki,57652534,341,0.9413489736070382,0.88,0.8,15,0.9478527607361963,0.8913043478260869,0.08786231884057971,0.8939393939393939,0.08645276292335113,2.786821029497712
wstd,CHEMBL228_Ki,65555877,341,0.9237536656891495,0.75,0.6,10,0.9335347432024169,0.8301886792452831,0.15629780724120346,0.8494623655913979,0.12387096774193551,2.745144909824977
wstd,CHEMBL228_Ki,80882938,341,0.8621700879765396,0.7727272727272727,0.75,8,0.8648648648648649,0.8045977011494253,0.1329022988505747,0.7777777777777778,0.1497584541062802,2.554839465091767
wstd,CHEMBL228_Ki,62569839,341,0.8826979472140762,0.75,0.42857142857142855,7,0.8922155688622755,0.8271604938271605,0.15834675254965114,0.7538461538461538,0.18442545109211772,2.5607158163441253
