dataset,split,seed,signal,auc_fail,auc_cliffB,auc_cliffA,misalignB,misalignA
CHEMBL214_Ki,random,89709943,d_wstd,0.6041941771992706,0.6998614260519023,0.7134924641234586,-0.09566724885263167,-0.10929828692418797
CHEMBL214_Ki,random,89709943,d_nb,0.6177851580393954,0.32315832315832316,0.3080471212875394,0.2946268348810722,0.30973803675185596
CHEMBL214_Ki,random,89709943,d_nn_sim,0.5667012513362258,0.06569664902998236,0.15868608927670008,0.5010046023062434,0.40801516205952576
CHEMBL214_Ki,random,86921808,rf_std,0.7582992923307059,0.496606027694814,0.4946032621814545,0.26169326463589193,0.2636960301492514
CHEMBL214_Ki,random,86921808,d_wstd,0.5326694194802041,0.7190581485686965,0.7405321052030602,-0.18638872908849247,-0.20786268572285616
CHEMBL214_Ki,random,86921808,d_nb,0.6796118366798996,0.2959000814553353,0.27895789509983104,0.38371175522456424,0.4006539415800685
CHEMBL214_Ki,random,86921808,d_nn_sim,0.6032574960192157,0.09854777983625172,0.14709016861416663,0.504709716182964,0.4561673274050491
CHEMBL214_Ki,random,89165191,rf_std,0.7184171958964338,0.5248219936708861,0.5024858722169039,0.1935952022255477,0.21593132367952994
CHEMBL214_Ki,random,89165191,d_wstd,0.524916852203073,0.7222642733564014,0.7221638833372853,-0.19734742115332837,-0.19724703113421227
CHEMBL214_Ki,random,89165191,d_nb,0.686008793356131,0.3418957674050633,0.33585523268381556,0.3441130259510677,0.3501535606723154
CHEMBL214_Ki,random,89165191,d_nn_sim,0.6219317775762073,0.08804606401384082,0.14938518342874563,0.5338857135623665,0.4725465941474617
CHEMBL214_Ki,scaffold,34332121,rf_std,0.7392862673952963,0.5007190549563431,0.48898478310243015,0.2385672124389533,0.2503014842928662
CHEMBL214_Ki,scaffold,34332121,d_wstd,0.505921553693831,0.8080565805658056,0.7803503010399562,-0.3021350268719747,-0.2744287473461252
CHEMBL214_Ki,scaffold,34332121,d_nb,0.6431447598398194,0.208371854134566,0.30679082443788325,0.43477290570525345,0.3363539354019362
CHEMBL214_Ki,scaffold,34332121,d_nn_sim,0.6187166793602438,0.06365313653136531,0.20476190476190476,0.5550635428288785,0.413954774598339
CHEMBL214_Ki,scaffold,57652534,rf_std,0.6516594516594516,0.27578125,0.3651920800946806,0.3758782016594516,0.286467371564771
CHEMBL214_Ki,scaffold,57652534,d_wstd,0.4333887733887734,0.46005917159763315,0.6011517496043608,-0.026670398208859747,-0.1677629762155874
CHEMBL214_Ki,scaffold,57652534,d_nb,0.6329004329004329,0.32177734375,0.3267280811182548,0.31112308915043285,0.30617235178217805
CHEMBL214_Ki,scaffold,57652534,d_nn_sim,0.5385446985446986,0.061267258382643,0.18399419729206964,0.47727744016205553,0.3545505012526289
CHEMBL214_Ki,scaffold,65555877,rf_std,0.7040988902401946,0.36248280079498546,0.3962550432773544,0.3416160894452091,0.3078438469628402
CHEMBL214_Ki,scaffold,65555877,d_wstd,0.5194495334668314,0.7495618874537547,0.7660680320254788,-0.2301123539869233,-0.24661849855864737
CHEMBL214_Ki,scaffold,65555877,d_nb,0.6585398297354819,0.20389339040921367,0.17945446394703266,0.4546464393262682,0.4790853657884492
CHEMBL214_Ki,scaffold,65555877,d_nn_sim,0.5605001917259597,0.09349646264684884,0.13747954173486088,0.4670037290791108,0.4230206499910988
