dataset,protocol,seed,method,n_test,n_train,n_cal,n_cliffA,n_cliffB,cov_all,cov_cliffA,cov_noncliffA,gapA_pp,cov_cliffB,cov_noncliffB,gapB_pp,width_all,width_cliffA,nn_sim_mean,nn_sim_median,y_mean_test,y_mean_train
CHEMBL244_Ki,act_shift20,87753278,mondrian_rfstd,619,1858,620,49,23,0.3134087237479806,0.10204081632653061,0.33157894736842103,22.95381310418904,0.043478260869565216,0.3238255033557047,28.03472424861395,2.426638943216399,2.1973707726502743,0.69434719017622,0.7101449275362319,9.447008089207632,6.552303281554986
CHEMBL244_Ki,act_shift20,87753278,mondrian_nb,619,1858,620,49,23,0.4378029079159935,0.24489795918367346,0.4543859649122807,20.948800572860726,0.13043478260869565,0.44966442953020136,31.92296469215057,2.845348782704723,2.644498390992823,0.69434719017622,0.7101449275362319,9.447008089207632,6.552303281554986
CHEMBL264_Ki,random,6021738,global,573,1717,572,44,26,0.8917975567190227,0.7954545454545454,0.8998109640831758,10.435641862863044,0.7692307692307693,0.8976234003656307,12.839263113486144,2.213642008086458,2.2136420080864574,0.7547214026345148,0.7647058823529411,7.71510070351711,7.748881752237724
CHEMBL264_Ki,random,6021738,mondrian_wstd,573,1717,572,44,26,0.8987783595113438,0.8181818181818182,0.9054820415879017,8.730022340608345,0.8076923076923077,0.903107861060329,9.541555336802132,2.2062483787095535,2.3168514353578775,0.7547214026345148,0.7647058823529411,7.71510070351711,7.748881752237724
CHEMBL264_Ki,random,6021738,mondrian_rfstd,573,1717,572,44,26,0.8970331588132635,0.75,0.9092627599243857,15.926275992438566,0.7307692307692307,0.9049360146252285,17.41667838559978,2.091540234111475,2.154187601383486,0.7547214026345148,0.7647058823529411,7.71510070351711,7.748881752237724
CHEMBL264_Ki,random,6021738,mondrian_nb,573,1717,572,44,26,0.9040139616055847,0.7727272727272727,0.9149338374291115,14.22065647018388,0.7307692307692307,0.9122486288848263,18.147939811559553,2.262280992142084,2.0711158795576705,0.7547214026345148,0.7647058823529411,7.71510070351711,7.748881752237724
CHEMBL264_Ki,random,98978916,global,573,1717,572,44,18,0.8970331588132635,0.8863636363636364,0.8979206049149339,1.1556968551297508,0.7222222222222222,0.9027027027027027,18.04804804804805,2.111712877574091,2.111712877574091,0.7568385348983073,0.7659574468085106,7.7782621907368945,7.728443307086064
CHEMBL264_Ki,random,98978916,mondrian_wstd,573,1717,572,44,18,0.8987783595113438,0.9090909090909091,0.8979206049149339,-1.1170304175975199,0.7777777777777778,0.9027027027027027,12.492492492492492,2.190201904511172,2.2498008981081905,0.7568385348983073,0.7659574468085106,7.7782621907368945,7.728443307086064
CHEMBL264_Ki,random,98978916,mondrian_rfstd,573,1717,572,44,18,0.8952879581151832,0.9090909090909091,0.8941398865784499,-1.4951022512459167,0.8333333333333334,0.8972972972972973,6.396396396396398,2.151105102473163,2.180547936553042,0.7568385348983073,0.7659574468085106,7.7782621907368945,7.728443307086064
CHEMBL264_Ki,random,98978916,mondrian_nb,573,1717,572,44,18,0.8848167539267016,0.8636363636363636,0.8865784499054821,2.2942086269118422,0.6666666666666666,0.8918918918918919,22.522522522522525,2.118408835060869,2.033612772937127,0.7568385348983073,0.7659574468085106,7.7782621907368945,7.728443307086064
CHEMBL264_Ki,random,91819329,global,573,1717,572,35,19,0.8726003490401396,0.7428571428571429,0.8810408921933085,13.818374933616562,0.6842105263157895,0.8790613718411552,19.48508455253657,2.244826649437917,2.244826649437916,0.7536284294837778,0.7678571428571429,7.754651936833969,7.731981357788002
CHEMBL264_Ki,random,91819329,mondrian_wstd,573,1717,572,35,19,0.9040139616055847,0.8285714285714286,0.9089219330855018,8.035050451407322,0.7368421052631579,0.9097472924187726,17.290518715561475,2.3646706575061414,2.443755914884636,0.7536284294837778,0.7678571428571429,7.754651936833969,7.731981357788002
CHEMBL264_Ki,random,91819329,mondrian_rfstd,573,1717,572,35,19,0.8987783595113438,0.8,0.9052044609665427,10.520446096654268,0.7368421052631579,0.9043321299638989,16.749002470074103,2.1936132018634247,2.365384797863345,0.7536284294837778,0.7678571428571429,7.754651936833969,7.731981357788002
CHEMBL264_Ki,random,91819329,mondrian_nb,573,1717,572,35,19,0.893542757417103,0.7428571428571429,0.9033457249070632,16.048858204992033,0.6842105263157895,0.9007220216606499,21.651149534486038,2.2404427681010564,2.1039688377229244,0.7536284294837778,0.7678571428571429,7.754651936833969,7.731981357788002
CHEMBL264_Ki,scaffold,51912928,global,573,1717,572,27,12,0.8865619546247818,0.9259259259259259,0.8846153846153846,-4.131054131054135,0.8333333333333334,0.8877005347593583,5.436720142602491,2.735782662618238,2.7357826626182375,0.7055184072437213,0.7045454545454546,7.724374583137666,7.7496747493241624
CHEMBL264_Ki,scaffold,51912928,mondrian_wstd,573,1717,572,27,12,0.8586387434554974,0.8518518518518519,0.8589743589743589,0.712250712250706,0.6666666666666666,0.8627450980392157,19.60784313725491,2.5119998943565265,2.5340121328798384,0.7055184072437213,0.7045454545454546,7.724374583137666,7.7496747493241624
