method,group_def,gap_mean,gap_sd,gap_min,gap_max,n_seeds,frac_seeds_gap_positive,perm_p_mean,perm_p_frac_sig,dataset
knn_weighted,defB_oracle,0.17112674168630673,0.09697751369098546,0.02926315789473688,0.3428340080971659,10,1.0,0.10829585207396304,0.6,CHEMBL236_Ki
cluster,defC_proxy,0.20187537542548828,0.13474630237297408,-0.0006535947712418277,0.39473684210526316,10,0.9,0.19855072463768114,0.4,CHEMBL236_Ki
global,defC_proxy,0.26582751512762365,0.12625485265274072,0.015032679738562149,0.4017681728880157,10,1.0,0.1219390304847576,0.6,CHEMBL236_Ki
knn_weighted,defC_proxy,0.213802582847702,0.12420772605172356,0.0013071895424836555,0.3908382066276803,10,1.0,0.16981509245377308,0.4,CHEMBL236_Ki
cluster,defA,0.06824731845258009,0.049959983589335684,0.0067946434461376715,0.15398191993112353,10,1.0,0.14237881059470264,0.4,CHEMBL204_Ki
global,defA,0.07407124485445178,0.05509019839503514,-0.013568627450980308,0.1915195867412829,10,0.9,0.13843078460769614,0.3,CHEMBL204_Ki
knn_weighted,defA,0.051943530125401274,0.058820495431233216,-0.013744588744588726,0.15596211795092552,10,0.8,0.2486256871564218,0.3,CHEMBL204_Ki
cluster,defB_oracle,0.14285262133107612,0.05967798477551178,0.05299098606938002,0.24465408805031452,10,1.0,0.05277361319340329,0.7,CHEMBL204_Ki
global,defB_oracle,0.13320993510948678,0.05261470364429534,0.054177897574124056,0.23522012578616358,10,1.0,0.06486756621689155,0.7,CHEMBL204_Ki
knn_weighted,defB_oracle,0.12041105964781958,0.08651268257592283,0.008057675996607339,0.26024310297732856,10,1.0,0.13523238380809594,0.5,CHEMBL204_Ki
cluster,defC_proxy,0.061022267912878125,0.09281912857190104,-0.0396766169154229,0.2710437710437711,10,0.7,0.4150924537731135,0.1,CHEMBL204_Ki
global,defC_proxy,0.08471897622530537,0.08006628493107007,0.001700680272108901,0.2617845117845118,10,1.0,0.3524737631184408,0.1,CHEMBL204_Ki
knn_weighted,defC_proxy,0.06768409270780698,0.11084587793866899,-0.018707482993197244,0.3656565656565657,10,0.8,0.4361819090454772,0.1,CHEMBL204_Ki
cluster,defA,0.0992438393791367,0.0578971801519598,0.011649238671803341,0.20353689473877712,10,1.0,0.10089955022488754,0.4,CHEMBL237_Ki
global,defA,0.11328073083417863,0.06358977097948357,0.006787745367822451,0.20530166550240814,10,1.0,0.09530234882558722,0.6,CHEMBL237_Ki
knn_weighted,defA,0.10151368725716337,0.06753221364313858,0.008897450009172636,0.2179124232508548,10,1.0,0.12363818090954522,0.5,CHEMBL237_Ki
cluster,defB_oracle,0.17324658121123368,0.10101988667873957,0.023030303030303068,0.397218905822038,10,1.0,0.10654672663668166,0.5,CHEMBL237_Ki
global,defB_oracle,0.20993109206651323,0.11824808068166223,-0.0008080808080808133,0.4174450452981248,10,0.9,0.08960519740129935,0.7,CHEMBL237_Ki
knn_weighted,defB_oracle,0.19657074122280024,0.12444024320989341,0.00121212121212122,0.4478544841632137,10,1.0,0.10749625187406298,0.6,CHEMBL237_Ki
cluster,defC_proxy,-0.007300081191746521,0.12073660548731918,-0.12621359223300976,0.2632944228274968,10,0.5,0.7225887056471765,0.0,CHEMBL237_Ki
global,defC_proxy,0.04111818664822496,0.09420360640904069,-0.09197651663405093,0.251621271076524,10,0.8,0.5981509245377312,0.0,CHEMBL237_Ki
knn_weighted,defC_proxy,0.003281914532532071,0.11794905181211816,-0.13035019455252916,0.25940337224383925,10,0.6,0.6867566216891554,0.0,CHEMBL237_Ki
cluster,defA,0.03679149076331327,0.027103187678273258,0.00527622594661703,0.08327594687653717,10,1.0,0.2957021489255372,0.1,CHEMBL264_Ki
global,defA,0.015444714339707866,0.04330537512627872,-0.07073290703393997,0.094638465322184,10,0.7,0.43348325837081453,0.0,CHEMBL264_Ki
knn_weighted,defA,0.06506187308151119,0.06794188797716055,-0.010898661567877665,0.21244568590937307,10,0.9,0.25477261369315346,0.2,CHEMBL264_Ki
cluster,defB_oracle,0.09207836466842814,0.08924225394394357,-0.006059245960502668,0.23423423423423428,10,0.9,0.26006996501749124,0.3,CHEMBL264_Ki
global,defB_oracle,0.0719004088319957,0.0925191643575222,-0.12208258527827653,0.218018018018018,10,0.8,0.2845077461269366,0.2,CHEMBL264_Ki
