method,group_def,side,coverage_mean,coverage_sd,n_mean,k_sum,n_sum,width_mean,rmse_mean,ci_lo,ci_hi,dataset
cluster,defC_proxy,all,0.9071290944123314,0.020688374489698902,519.0,4708,5190,2.4232613120284388,0.7028501623197403,0.8989285781640746,0.9147273706179178,CHEMBL236_Ki
cluster,defC_proxy,cliff,0.7084733893557422,0.1347828297765824,9.3,68,93,2.660377009047545,1.1922481723212326,0.6332377843443057,0.8107869187491933,CHEMBL236_Ki
cluster,defC_proxy,noncliff,0.9103487647812306,0.02069938516963639,509.7,4640,5097,2.41905096126973,0.6912657819519035,0.9021840546031584,0.9178767204218122,CHEMBL236_Ki
global,defA,all,0.9026974951830443,0.019101184788648747,519.0,4685,5190,2.358119590227741,0.7028501623197403,0.8943341176170067,0.910465188087851,CHEMBL236_Ki
global,defA,cliff,0.8302354620379848,0.05420191350609361,54.0,448,540,2.3581195902277416,0.9147458331664339,0.7956182176820543,0.8589843217638653,CHEMBL236_Ki
global,defA,noncliff,0.911100795897051,0.018097427025730067,465.0,4237,4650,2.358119590227741,0.6731849785074348,0.9026631177328905,0.919023661637763,CHEMBL236_Ki
global,defB_oracle,all,0.9026974951830443,0.019101184788648747,519.0,4685,5190,2.358119590227741,0.7028501623197403,0.8943341176170067,0.910465188087851,CHEMBL236_Ki
global,defB_oracle,cliff,0.7440780798149219,0.10441589081253443,24.6,182,246,2.3581195902277416,1.0670835102812934,0.6816239743457341,0.7906755413430776,CHEMBL236_Ki
global,defB_oracle,noncliff,0.910729231384279,0.017309587443604266,494.4,4503,4944,2.358119590227741,0.6785190567128161,0.9025335882938431,0.9184304692263362,CHEMBL236_Ki
global,defC_proxy,all,0.9026974951830443,0.019101184788648747,519.0,4685,5190,2.358119590227741,0.7028501623197403,0.8943341176170067,0.910465188087851,CHEMBL236_Ki
global,defC_proxy,cliff,0.6413608776844071,0.12800239058930835,9.3,61,93,2.3581195902277416,1.1922481723212326,0.5549092077246491,0.7445493129663152,CHEMBL236_Ki
global,defC_proxy,noncliff,0.9071883928120308,0.01863702872286213,509.7,4624,5097,2.358119590227741,0.6912657819519035,0.8989251996732806,0.9148621006204447,CHEMBL236_Ki
knn_weighted,defA,all,0.9028901734104047,0.019293496062189965,519.0,4686,5190,2.317989163568955,0.7028501623197403,0.8945337680921901,0.910650609050804,CHEMBL236_Ki
knn_weighted,defA,cliff,0.8389435530146621,0.06232331697821426,54.0,453,540,2.411869860783967,0.9147458331664339,0.8055047841090631,0.8674854671190454,CHEMBL236_Ki
knn_weighted,defA,noncliff,0.9102771584548199,0.01705081490797731,465.0,4233,4650,2.306894803898392,0.6731849785074348,0.9017680657218478,0.9181997036501223,CHEMBL236_Ki
knn_weighted,defB_oracle,all,0.9028901734104047,0.019293496062189965,519.0,4686,5190,2.317989163568955,0.7028501623197403,0.8945337680921901,0.910650609050804,CHEMBL236_Ki
knn_weighted,defB_oracle,cliff,0.7398326585695008,0.10484428510460504,24.6,182,246,2.4208321165559683,1.0670835102812934,0.6816239743457341,0.7906755413430776,CHEMBL236_Ki
knn_weighted,defB_oracle,noncliff,0.9109594002558075,0.016485707315920646,494.4,4504,4944,2.3130933771070956,0.6785190567128161,0.9027438126442368,0.9186244615463118,CHEMBL236_Ki
knn_weighted,defC_proxy,all,0.9028901734104047,0.019293496062189965,519.0,4686,5190,2.317989163568955,0.7028501623197403,0.8945337680921901,0.910650609050804,CHEMBL236_Ki
knn_weighted,defC_proxy,cliff,0.6925910364145658,0.12277969298983842,9.3,66,93,2.4790704590656527,1.1922481723212326,0.6105740949932597,0.7921459845566579,CHEMBL236_Ki
knn_weighted,defC_proxy,noncliff,0.9063936192622679,0.01933227783412704,509.7,4620,5097,2.315186389422037,0.6912657819519035,0.8981109221051068,0.9141080095058071,CHEMBL236_Ki
cluster,defA,all,0.9098003629764065,0.016256453979419123,551.0,5013,5510,2.771495834564646,0.7996786254809651,0.9019481705639061,0.9170815446948795,CHEMBL204_Ki
cluster,defA,cliff,0.8475872677410912,0.05379933265940899,51.1,435,511,2.796265246956815,0.9911103394520007,0.8178038579481117,0.879498182999275,CHEMBL204_Ki
cluster,defA,noncliff,0.9158345861936713,0.015584028763313988,499.9,4578,4999,2.769408576941108,0.7771299586317447,0.9077617988818182,0.923165991698201,CHEMBL204_Ki
cluster,defB_oracle,all,0.9098003629764065,0.016256453979419123,551.0,5013,5510,2.771495834564646,0.7996786254809651,0.9019481705639061,0.9170815446948795,CHEMBL204_Ki
cluster,defB_oracle,cliff,0.7734002919175332,0.06180654959829062,25.7,200,257,2.7688604047516407,1.132127711991808,0.7235294134244115,0.8246963197336756,CHEMBL204_Ki
cluster,defB_oracle,noncliff,0.9162529132486095,0.016281447466104153,525.3,4813,5253,2.77114690959774,0.7795052658743951,0.9084391925882401,0.9234291515982379,CHEMBL204_Ki
cluster,defC_proxy,all,0.9098003629764065,0.016256453979419123,551.0,5013,5510,2.771495834564646,0.7996786254809651,0.9019481705639061,0.9170815446948795,CHEMBL204_Ki
cluster,defC_proxy,cliff,0.8500627150627149,0.08865415027025586,12.1,103,121,2.888455018784257,1.0930008667083997,0.7770809679977386,0.9037825912953552,CHEMBL204_Ki
cluster,defC_proxy,noncliff,0.9110849829755931,0.016779552594990324,538.9,4910,5389,2.769132606802638,0.7915596523369762,0.9032215368251485,0.9184232368687865,CHEMBL204_Ki
global,defA,all,0.9038112522686026,0.019073058403429436,551.0,4980,5510,2.673225599773582,0.7996786254809651,0.8957422854399509,0.911317553555088,CHEMBL204_Ki
global,defA,cliff,0.836319172278144,0.05815564021671824,51.1,429,511,2.673225599773582,0.9911103394520007,0.8051910208267459,0.8688028739051292,CHEMBL204_Ki
global,defA,noncliff,0.9103904171325958,0.018623787644664578,499.9,4551,4999,2.673225599773582,0.7771299586317447,0.9021457268902149,0.9179881977549182,CHEMBL204_Ki
global,defB_oracle,all,0.9038112522686026,0.019073058403429436,551.0,4980,5510,2.673225599773582,0.7996786254809651,0.8957422854399509,0.911317553555088,CHEMBL204_Ki
global,defB_oracle,cliff,0.7767600802773217,0.05978488558742695,25.7,200,257,2.6732255997735814,1.132127711991808,0.7235294134244115,0.8246963197336756,CHEMBL204_Ki
global,defB_oracle,noncliff,0.9099700153868084,0.01850008925922294,525.3,4780,5253,2.673225599773582,0.7795052658743951,0.9019129474195605,0.9174003291437053,CHEMBL204_Ki
global,defC_proxy,all,0.9038112522686026,0.019073058403429436,551.0,4980,5510,2.673225599773582,0.7996786254809651,0.8957422854399509,0.911317553555088,CHEMBL204_Ki
global,defC_proxy,cliff,0.8209718059718061,0.08595672807443908,12.1,99,121,2.673225599773582,1.0930008667083997,0.7400294816388653,0.8767528014854669,CHEMBL204_Ki
global,defC_proxy,noncliff,0.9056907821971114,0.018435364434270768,538.9,4881,5389,2.673225599773582,0.7915596523369762,0.8976409217065698,0.9132488538212066,CHEMBL204_Ki
knn_weighted,defA,all,0.9096188747731396,0.018345376439563497,551.0,5012,5510,2.6551673367463193,0.7996786254809651,0.9017599702871774,0.9169070214484644,CHEMBL204_Ki
knn_weighted,defA,cliff,0.8621965573702252,0.05472540373890276,51.1,442,511,2.7250740944155067,0.9911103394520007,0.8326014371772893,0.8918934410215275,CHEMBL204_Ki
