dataset,seed,method,n_test,n_cliff,cov_all,cov_cliff,cov_noncliff,size_all,size_cliff,size_noncliff,q_global,cov_global_class0,cov_global_class1
BACE,20316356,mondrian_predclass,302,18,0.8973509933774835,0.3333333333333333,0.9330985915492958,1.2384105960264902,1.2222222222222223,1.2394366197183098,0.7,,
BACE,20316356,mondrian_nnsim,302,18,0.9039735099337748,0.3333333333333333,0.9401408450704225,1.2615894039735098,1.2222222222222223,1.2640845070422535,0.7,,
BACE,20324275,global,302,21,0.9072847682119205,0.6666666666666666,0.9252669039145908,1.2019867549668874,1.619047619047619,1.1708185053380782,0.685,,
BACE,20324275,aps,302,21,0.9966887417218543,1.0,0.99644128113879,1.990066225165563,1.9523809523809523,1.99288256227758,0.685,0.9197530864197531,0.8928571428571429
BACE,20324275,mondrian_predclass,302,21,0.9072847682119205,0.6666666666666666,0.9252669039145908,1.2019867549668874,1.619047619047619,1.1708185053380782,0.685,,
BACE,20324275,mondrian_nnsim,302,21,0.8874172185430463,0.6190476190476191,0.9074733096085409,1.1721854304635762,1.5714285714285714,1.1423487544483986,0.685,,
BACE,20332194,global,302,27,0.9139072847682119,0.6666666666666666,0.9381818181818182,1.271523178807947,1.4074074074074074,1.2581818181818183,0.6699999999999999,,
BACE,20332194,aps,302,27,0.9933774834437086,1.0,0.9927272727272727,1.9867549668874172,2.0,1.9854545454545454,0.6699999999999999,0.9419354838709677,0.8843537414965986
BACE,20332194,mondrian_predclass,302,27,0.9139072847682119,0.6666666666666666,0.9381818181818182,1.271523178807947,1.4074074074074074,1.2581818181818183,0.6699999999999999,,
BACE,20332194,mondrian_nnsim,302,27,0.9139072847682119,0.6666666666666666,0.9381818181818182,1.271523178807947,1.4074074074074074,1.2581818181818183,0.6699999999999999,,
ClinTox,20260923,global,292,3,0.9452054794520548,0.0,0.9550173010380623,0.9965753424657534,1.0,0.9965397923875432,0.44499999999999995,,
ClinTox,20260923,aps,292,3,1.0,1.0,1.0,2.0,2.0,2.0,0.44499999999999995,0.9963369963369964,0.21052631578947367
ClinTox,20260923,mondrian_predclass,292,3,0.9452054794520548,0.0,0.9550173010380623,0.9965753424657534,1.0,0.9965397923875432,0.44499999999999995,,
ClinTox,20260923,mondrian_nnsim,292,3,0.9383561643835616,0.0,0.9480968858131488,0.9794520547945206,0.6666666666666666,0.9826989619377162,0.44499999999999995,,
ClinTox,20268842,global,292,2,0.8904109589041096,0.0,0.896551724137931,0.934931506849315,0.0,0.9413793103448276,0.18666666666666676,,
ClinTox,20268842,aps,292,2,1.0,1.0,1.0,1.9965753424657535,2.0,1.9965517241379311,0.18666666666666676,0.9454545454545454,0.0
ClinTox,20268842,mondrian_predclass,292,2,0.8904109589041096,0.0,0.896551724137931,0.934931506849315,0.0,0.9413793103448276,0.18666666666666676,,
ClinTox,20268842,mondrian_nnsim,292,2,0.8904109589041096,0.0,0.896551724137931,0.934931506849315,0.0,0.9413793103448276,0.18666666666666676,,
ClinTox,20276761,global,292,0,0.9041095890410958,,0.9041095890410958,0.9828767123287672,,0.9828767123287672,0.30500000000000005,,
ClinTox,20276761,aps,292,0,1.0,,1.0,1.9965753424657535,,1.9965753424657535,0.30500000000000005,0.9887640449438202,0.0
ClinTox,20276761,mondrian_predclass,292,0,0.9041095890410958,,0.9041095890410958,0.9828767123287672,,0.9828767123287672,0.30500000000000005,,
ClinTox,20276761,mondrian_nnsim,292,0,0.9041095890410958,,0.9041095890410958,0.9828767123287672,,0.9828767123287672,0.30500000000000005,,
ClinTox,20284680,global,292,3,0.9075342465753424,0.3333333333333333,0.9134948096885813,0.9726027397260274,0.6666666666666666,0.9757785467128027,0.30500000000000005,,
ClinTox,20284680,aps,292,3,1.0,1.0,1.0,2.0,2.0,2.0,0.30500000000000005,0.9812734082397003,0.12
ClinTox,20284680,mondrian_predclass,292,3,0.9075342465753424,0.3333333333333333,0.9134948096885813,0.9726027397260274,0.6666666666666666,0.9757785467128027,0.30500000000000005,,
ClinTox,20284680,mondrian_nnsim,292,3,0.9075342465753424,0.3333333333333333,0.9134948096885813,0.9726027397260274,0.6666666666666666,0.9757785467128027,0.30500000000000005,,
ClinTox,20292599,global,292,1,0.9143835616438356,1.0,0.9140893470790378,0.9623287671232876,1.0,0.9621993127147767,0.385,,
ClinTox,20292599,aps,292,1,1.0,1.0,1.0,2.0,2.0,2.0,0.385,0.967391304347826,0.0
ClinTox,20292599,mondrian_predclass,292,1,0.9143835616438356,1.0,0.9140893470790378,0.9623287671232876,1.0,0.9621993127147767,0.385,,
ClinTox,20292599,mondrian_nnsim,292,1,0.9075342465753424,1.0,0.9072164948453608,0.9417808219178082,1.0,0.9415807560137457,0.385,,
ClinTox,20300518,global,292,0,0.8835616438356164,,0.8835616438356164,0.9623287671232876,,0.9623287671232876,0.265,,
ClinTox,20300518,aps,292,0,1.0,,1.0,2.0,,2.0,0.265,0.9772727272727273,0.0
ClinTox,20300518,mondrian_predclass,292,0,0.8835616438356164,,0.8835616438356164,0.9623287671232876,,0.9623287671232876,0.265,,
ClinTox,20300518,mondrian_nnsim,292,0,0.8595890410958904,,0.8595890410958904,0.928082191780822,,0.928082191780822,0.265,,
ClinTox,20308437,global,292,2,0.8904109589041096,0.0,0.896551724137931,0.9315068493150684,0.0,0.9379310344827586,0.21999999999999997,,
ClinTox,20308437,aps,292,2,1.0,1.0,1.0,2.0,2.0,2.0,0.21999999999999997,0.959409594095941,0.0
ClinTox,20308437,mondrian_predclass,292,2,0.8904109589041096,0.0,0.896551724137931,0.9315068493150684,0.0,0.9379310344827586,0.21999999999999997,,
ClinTox,20308437,mondrian_nnsim,292,2,0.886986301369863,0.0,0.8931034482758621,0.928082191780822,0.0,0.9344827586206896,0.21999999999999997,,
ClinTox,20316356,global,292,1,0.928082191780822,1.0,0.9278350515463918,1.0,1.0,1.0,0.495,,
ClinTox,20316356,aps,292,1,1.0,1.0,1.0,2.0,2.0,2.0,0.495,0.9962825278810409,0.13043478260869565
ClinTox,20316356,mondrian_predclass,292,1,0.928082191780822,1.0,0.9278350515463918,1.0,1.0,1.0,0.495,,
ClinTox,20316356,mondrian_nnsim,292,1,0.9315068493150684,1.0,0.9312714776632303,1.0034246575342465,1.0,1.0034364261168385,0.495,,
ClinTox,20324275,global,292,0,0.910958904109589,,0.910958904109589,0.9931506849315068,,0.9931506849315068,0.42000000000000004,,
ClinTox,20324275,aps,292,0,1.0,,1.0,2.0,,2.0,0.42000000000000004,0.9924528301886792,0.1111111111111111
ClinTox,20324275,mondrian_predclass,292,0,0.910958904109589,,0.910958904109589,0.9931506849315068,,0.9931506849315068,0.42000000000000004,,
ClinTox,20324275,mondrian_nnsim,292,0,0.8972602739726028,,0.8972602739726028,0.9794520547945206,,0.9794520547945206,0.42000000000000004,,
ClinTox,20332194,global,292,3,0.9178082191780822,0.6666666666666666,0.9204152249134948,0.9828767123287672,1.0,0.9826989619377162,0.345,,
ClinTox,20332194,aps,292,3,1.0,1.0,1.0,2.0,2.0,2.0,0.345,0.9925650557620818,0.043478260869565216
ClinTox,20332194,mondrian_predclass,292,3,0.9178082191780822,0.6666666666666666,0.9204152249134948,0.9828767123287672,1.0,0.9826989619377162,0.345,,
ClinTox,20332194,mondrian_nnsim,292,3,0.9178082191780822,0.6666666666666666,0.9204152249134948,0.9828767123287672,1.0,0.9826989619377162,0.345,,
Tox21_NR-AR,20260923,global,1451,8,0.9000689179875948,0.0,0.9050589050589051,0.9138525155065472,0.25,0.9175329175329175,0.08499999999999996,,
Tox21_NR-AR,20260923,aps,1451,8,1.0,1.0,1.0,1.9965541006202618,1.875,1.9972279972279972,0.08499999999999996,0.9249463902787706,0.23076923076923078
Tox21_NR-AR,20260923,mondrian_predclass,1451,8,0.9000689179875948,0.0,0.9050589050589051,0.9138525155065472,0.25,0.9175329175329175,0.08499999999999996,,
Tox21_NR-AR,20260923,mondrian_nnsim,1451,8,0.9000689179875948,0.0,0.9050589050589051,0.9138525155065472,0.25,0.9175329175329175,0.08499999999999996,,
Tox21_NR-AR,20268842,global,1451,10,0.8952446588559614,0.0,0.9014573213046495,0.9152308752584425,0.3,0.919500346981263,0.07999999999999996,,
Tox21_NR-AR,20268842,aps,1451,10,1.0,1.0,1.0,1.9972432804962095,2.0,1.9972241498959056,0.07999999999999996,0.9312092686459088,0.18571428571428572
Tox21_NR-AR,20268842,mondrian_predclass,1451,10,0.8952446588559614,0.0,0.9014573213046495,0.9152308752584425,0.3,0.919500346981263,0.07999999999999996,,
Tox21_NR-AR,20268842,mondrian_nnsim,1451,10,0.8952446588559614,0.0,0.9014573213046495,0.9152308752584425,0.3,0.919500346981263,0.07999999999999996,,
Tox21_NR-AR,20276761,global,1451,8,0.912474155754652,0.0,0.9175329175329175,0.926946933149552,0.125,0.9313929313929314,0.08499999999999996,,
Tox21_NR-AR,20276761,aps,1451,8,1.0,1.0,1.0,1.9986216402481047,2.0,1.9986139986139986,0.08499999999999996,0.9359886201991465,0.17777777777777778
