method,comparison,n_pairs,delta_mean,delta_ci_lo,delta_ci_hi,wilcoxon_p,n_ds_delta_pos,n_ds,meta_delta,meta_ci_lo,meta_ci_hi,meta_p,meta_I2
mondrian_nnsim,最差组覆盖率(按树间方差分箱),150,0.020409277310602096,0.015092190083929901,0.02572636453727429,3.9347547073964885e-12,15,15,0.01971544293231109,0.015705716659031657,0.02372516920559052,5.572213589057386e-22,0.0
mondrian_nnsim,"平均区间宽度(代价, - 更好)",150,0.05785273438067731,0.04477616061380768,0.07092930814754694,7.096956571958234e-13,15,15,0.05591515585529119,0.036683330415774304,0.07514698129480808,1.2082382147121837e-08,64.4760701842149
mondrian_nnsim,机制悬崖组覆盖率,150,0.017214604003359626,0.004609004834594041,0.029820203172125213,0.010395723363411144,8,15,0.012125219032363257,-0.006345504988066821,0.030595943052793336,0.19821494398666872,72.40925129428646
mondrian_nnsim,边缘覆盖率(有效性),150,0.004675777453325852,0.0026077442890878673,0.006743810617563836,2.3220445128899047e-05,13,15,0.0047863040172558035,0.002785491368841713,0.0067871166656698935,2.7498263685236585e-06,27.531978665852147
mondrian_pair,最差组覆盖率(按标签离散度分箱),150,0.0037706346828985295,0.0010884475147674567,0.006452821851029602,0.0027350576285392397,12,15,0.00381759692234752,0.0012707630091714573,0.0063644308355235825,0.00330382239147381,34.776564009868665
mondrian_pair,最差组覆盖率(按树间方差分箱),150,0.006236776694480845,0.002969492282713566,0.009504061106248123,0.00028203782396083306,13,15,0.006676662449418238,0.004323335864576193,0.009029989034260283,2.686193310662843e-08,0.0
mondrian_pair,"平均区间宽度(代价, - 更好)",150,0.017473877421228634,0.009424718384428668,0.0255230364580286,9.375200704158278e-05,12,15,0.015231711656673905,0.004624935134247816,0.02583848817909999,0.0048833372664734975,58.6698382734806
mondrian_pair,机制悬崖组覆盖率,150,-0.0025119583857840817,-0.011107558021007729,0.006083641249439565,0.2534001657253421,7,15,-0.0029300616283434357,-0.012720580454990176,0.006860457198303305,0.5574859376487338,42.12139086329082
mondrian_pair,边缘覆盖率(有效性),150,0.001470249877529096,0.0002475401310682243,0.0026929596239899673,0.006923495962856791,12,15,0.0016295795858093888,8.83780271753315e-05,0.003170781144443446,0.038228765348017245,57.0988250715692
mondrian_pairgap,最差组覆盖率(按标签离散度分箱),150,0.011843216008810305,0.00856416396635423,0.01512226805126638,3.691757795088776e-10,15,15,0.011308392611098495,0.007116565397349946,0.015500219824847044,1.2397299277096305e-07,49.45297037897986
mondrian_pairgap,最差组覆盖率(按树间方差分箱),150,0.018163418163038722,0.013714029593253688,0.022612806732823756,8.549070980571323e-12,15,15,0.01837004144692895,0.014716372677374925,0.022023710216482972,6.550597364442961e-23,0.0
mondrian_pairgap,"平均区间宽度(代价, - 更好)",150,0.047988322755239225,0.03605740528488213,0.05991924022559632,2.5380179730887836e-12,15,15,0.0434859923474328,0.026448508586525532,0.060523476108340066,5.654794966458274e-07,69.59646209605563
mondrian_pairgap,机制悬崖组覆盖率,150,-0.006736397197110699,-0.017685429489056395,0.0042126350948349985,0.1447815988844857,8,15,-0.007225130185505204,-0.01928292180792644,0.0048326614369160305,0.2402154325273902,40.331038712941734
mondrian_pairgap,边缘覆盖率(有效性),150,0.004849626486964577,0.0032574075693558692,0.006441845404573285,2.7499325667818776e-08,14,15,0.004680683320209426,0.0030590396803236823,0.0063023269600951705,1.5376470069376984e-08,27.23223329250028
mondrian_rfstd,最差组覆盖率(按标签离散度分箱),150,0.0388018819622917,0.0328053580040885,0.0447984059204949,3.209757705058448e-20,15,15,0.038648568607884924,0.031692683049728484,0.045604454166041364,1.2831562014738218e-27,54.857826772574825
mondrian_rfstd,最差组覆盖率(按树间方差分箱),150,0.08809959267972543,0.0783868705642038,0.09781231479524706,2.139050142259038e-23,15,15,0.09018094363776544,0.07648064761003313,0.10388123966549774,4.4130309095308647e-38,63.40245870366661
mondrian_rfstd,"平均区间宽度(代价, - 更好)",150,-0.07286381225572161,-0.09529164068480661,-0.05043598382663661,2.5534591595473274e-09,3,15,-0.07844645737724132,-0.1164973095285732,-0.04039560522590944,5.327411051000242e-05,82.93286149740669
mondrian_rfstd,机制悬崖组覆盖率,150,-0.063950237529643,-0.07814517064353033,-0.04975530441575567,2.876729830743631e-13,1,15,-0.06546556959017091,-0.08717018327414554,-0.04376095590619629,3.384667901821987e-09,64.81270673692569
mondrian_rfstd,边缘覆盖率(有效性),150,0.0045954610241559024,0.0017914571540838435,0.007399464894227961,0.0008102453098662326,12,15,0.0043319697837249085,0.0009459365740543068,0.00771800299339551,0.012157003927851783,49.39414777664412
mondrian_std,最差组覆盖率(按标签离散度分箱),150,0.035104876944710796,0.026414131160478867,0.043795622728942725,4.54169860440036e-12,13,15,0.03602046088297178,0.023332143151616323,0.04870877861432724,2.6338563910101424e-08,73.184072379064
mondrian_std,最差组覆盖率(按树间方差分箱),150,0.034972808767542496,0.028548802139535624,0.04139681539554937,1.7464569831336522e-16,15,15,0.0345924565489561,0.029214618878242195,0.039970294219670015,1.9192961112834474e-36,6.846472282635349
mondrian_std,"平均区间宽度(代价, - 更好)",150,0.042117004471998454,0.02379822970901767,0.06043577923497924,9.808236195511707e-06,13,15,0.028977306252181267,0.009662257797319631,0.048292354707042906,0.003277037964276378,48.219562637999644
mondrian_std,机制悬崖组覆盖率,150,0.01900256857316117,0.003907917326387024,0.03409721981993531,0.008701766668987518,11,15,0.021646148895060564,0.0062520056726713385,0.03704029211744979,0.005851075289624061,41.180556899172174
mondrian_std,边缘覆盖率(有效性),150,0.005718021406892598,0.002963864866221238,0.008472177947563959,2.2177981210192627e-05,13,15,0.004730037386048256,0.0024597907463729343,0.0070002840257235785,4.433542147744384e-05,24.70385889967432
mondrian_wstd,最差组覆盖率(按标签离散度分箱),150,0.03489203044208114,0.026190888947776325,0.043593171936385955,9.231876032166646e-12,14,15,0.034713060445639675,0.021776247322639372,0.04764987356863998,1.446645561187668e-07,71.27853484659741
mondrian_wstd,最差组覆盖率(按树间方差分箱),150,0.03607863738876868,0.02946660840892583,0.04269066636861153,2.9504134478941325e-16,15,15,0.03546842436973201,0.029303744812105167,0.04163310392735885,1.707683716925939e-29,16.556936610209764
mondrian_wstd,"平均区间宽度(代价, - 更好)",150,0.039652142564928626,0.022841018687359466,0.056463266442497786,2.604010238712085e-05,12,15,0.03556438733657701,0.009500248793325027,0.061628525879829,0.00748608117836735,72.6786954150124
mondrian_wstd,机制悬崖组覆盖率,150,0.01484201143272338,0.0008623344656115244,0.028821688399835236,0.05294389198273141,12,15,0.015632441446447803,0.004523498257595675,0.02674138463529993,0.005813826504882026,2.948250571730248
mondrian_wstd,边缘覆盖率(有效性),150,0.005302472437139436,0.002777825008998186,0.007827119865280684,0.00012032689189887206,12,15,0.003971819741745215,0.0018524341793522306,0.0060912053041382,0.00023960282078470523,4.935985947406818
