dataset,protocol,seed,method,n_test,n_train,n_cal,n_cliffA,n_cliffB,cov_all,cov_cliffA,cov_noncliffA,gapA_pp,cov_cliffB,cov_noncliffB,gapB_pp,width_all,width_cliffA,nn_sim_mean,nn_sim_median,y_mean_test,y_mean_train
CHEMBL214_Ki,act_mid20,98978916,mondrian_wstd,663,1990,664,35,21,0.9773755656108597,0.9428571428571428,0.9792993630573248,3.644222020018195,0.9047619047619048,0.9797507788161994,7.498887405429466,2.61678027295642,2.6917116412828124,0.7439944092418721,0.7575757575757576,7.34888303053757,7.323353752590843
CHEMBL214_Ki,act_mid20,98978916,mondrian_rfstd,663,1990,664,35,21,0.9140271493212669,0.8,0.9203821656050956,12.038216560509552,0.7142857142857143,0.9205607476635514,20.627503337783715,2.4650165028947497,2.485033891030141,0.7439944092418721,0.7575757575757576,7.34888303053757,7.323353752590843
CHEMBL214_Ki,act_mid20,98978916,mondrian_nb,663,1990,664,35,21,0.9819004524886877,0.9428571428571428,0.9840764331210191,4.121929026387628,0.9523809523809523,0.9828660436137072,3.048509123275489,2.4570860392918497,2.210023605173657,0.7439944092418721,0.7575757575757576,7.34888303053757,7.323353752590843
CHEMBL214_Ki,act_mid20,91819329,global,663,1990,664,36,23,0.9849170437405732,0.9444444444444444,0.9872408293460925,4.279638490164805,0.9130434782608695,0.9875,7.445652173913054,2.632819338769199,2.6328193387691985,0.7455745302671322,0.7571428571428571,7.34888303053757,7.374848510771082
CHEMBL214_Ki,act_mid20,91819329,mondrian_wstd,663,1990,664,36,23,0.9607843137254902,0.8888888888888888,0.9649122807017544,7.602339181286554,0.8260869565217391,0.965625,13.953804347826082,2.674820417684145,2.890359012102158,0.7455745302671322,0.7571428571428571,7.34888303053757,7.374848510771082
CHEMBL214_Ki,act_mid20,91819329,mondrian_rfstd,663,1990,664,36,23,0.9306184012066365,0.8055555555555556,0.937799043062201,13.22434875066454,0.7391304347826086,0.9375,19.836956521739136,2.445075431319281,2.491968885786413,0.7455745302671322,0.7571428571428571,7.34888303053757,7.374848510771082
CHEMBL214_Ki,act_mid20,91819329,mondrian_nb,663,1990,664,36,23,0.975867269984917,0.9444444444444444,0.9776714513556619,3.3227006911217494,0.9130434782608695,0.978125,6.508152173913051,2.5198262836640652,2.3248270423284008,0.7455745302671322,0.7571428571428571,7.34888303053757,7.374848510771082
CHEMBL219_Ki,act_mid20,6021738,global,373,1119,373,27,17,0.9624664879356568,0.8888888888888888,0.9682080924855492,7.931920359666034,0.8235294117647058,0.9691011235955056,14.557171183079976,2.380171490010758,2.380171490010758,0.726673583204197,0.74,7.276546019238929,7.21822309651556
CHEMBL219_Ki,act_mid20,6021738,mondrian_wstd,373,1119,373,27,17,0.9597855227882037,0.8518518518518519,0.9682080924855492,11.635624063369733,0.7647058823529411,0.9691011235955056,20.439524124256447,2.413454926046315,2.3995722720587076,0.726673583204197,0.74,7.276546019238929,7.21822309651556
CHEMBL219_Ki,act_mid20,6021738,mondrian_rfstd,373,1119,373,27,17,0.9195710455764075,0.7407407407407407,0.9335260115606936,19.27852708199529,0.6470588235294118,0.9325842696629213,28.55254461335095,2.494848368711494,2.4252194806270317,0.726673583204197,0.74,7.276546019238929,7.21822309651556
CHEMBL219_Ki,act_mid20,6021738,mondrian_nb,373,1119,373,27,17,0.9651474530831099,0.8518518518518519,0.9739884393063584,12.213658745450651,0.7647058823529411,0.9747191011235955,21.001321877065436,2.4737333251553353,2.24760275216824,0.726673583204197,0.74,7.276546019238929,7.21822309651556
CHEMBL219_Ki,act_mid20,98978916,global,373,1119,373,27,15,0.9705093833780161,0.8888888888888888,0.976878612716763,8.798972382787419,0.8,0.9776536312849162,17.765363128491618,2.593337538886752,2.5933375388867526,0.7304258380817868,0.7450980392156863,7.276546019238929,7.2095063135753525
